"subject","predicate","object","certainty","source"
"ECR-I","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-I","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-I","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-I","documents_event","event-ecr-i-record-context","probable","ECR pilot"
"ECR-I","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-I","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-I","associated_with","actor-aidan-dalriada","probable","ECR pilot"
"ECR-I","associated_with","actor-columba","probable","ECR pilot"
"ECR-I","associated_with","actor-adamnan","probable","ECR pilot"
"ECR-I","associated_with","actor-british-library","certain","ECR pilot"
"ECR-I","preserved_in","ms-ecr-i-src","certain","ECR pilot"
"ms-ecr-i-src","has_event","event-ms-ecr-i-src-source","certain","ECR pilot"
"ms-ecr-i-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-i-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-i-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-i-src","associated_with","actor-british-library","probable","ECR pilot"
