"subject","predicate","object","certainty","source"
"ECR-II","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-II","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-II","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-II","documents_event","event-ecr-ii-record-context","probable","ECR pilot"
"ECR-II","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-II","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-II","associated_with","actor-columba","probable","ECR pilot"
"ECR-II","associated_with","actor-roger-york","probable","ECR pilot"
"ECR-II","associated_with","actor-york","certain","ECR pilot"
"ECR-II","associated_with","actor-bnf","certain","ECR pilot"
"ECR-II","preserved_in","ms-ecr-ii-a","certain","ECR pilot"
"ms-ecr-ii-a","has_event","event-ms-ecr-ii-a-source","certain","ECR pilot"
"ms-ecr-ii-a","located_at","repo-rouen-bm","certain","ECR pilot"
"ms-ecr-ii-a","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-ii-a","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-ii-a","has_reference","ref-ms-ecr-ii-a-digital","certain","ECR pilot"
"ECR-II","preserved_in","ms-ecr-ii-b","certain","ECR pilot"
"ms-ecr-ii-b","has_event","event-ms-ecr-ii-b-source","certain","ECR pilot"
"ms-ecr-ii-b","located_at","repo-paris-bnf","certain","ECR pilot"
"ms-ecr-ii-b","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-ii-b","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-ii-b","associated_with","actor-bnf","probable","ECR pilot"
"ms-ecr-ii-b","has_reference","ref-ms-ecr-ii-b-digital","certain","ECR pilot"
