"subject","predicate","object","certainty","source"
"ECR-III","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-III","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-III","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-III","documents_event","event-ecr-iii-record-context","probable","ECR pilot"
"ECR-III","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-III","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-III","associated_with","actor-columba","probable","ECR pilot"
"ECR-III","associated_with","actor-ethelred-ii","probable","ECR pilot"
"ECR-III","associated_with","actor-harold-ii","probable","ECR pilot"
"ECR-III","associated_with","actor-william-conqueror","probable","ECR pilot"
"ECR-III","associated_with","actor-john","probable","ECR pilot"
"ECR-III","associated_with","actor-bnf","certain","ECR pilot"
"ECR-III","preserved_in","ms-ecr-iii-a","certain","ECR pilot"
"ms-ecr-iii-a","has_event","event-ms-ecr-iii-a-source","certain","ECR pilot"
"ms-ecr-iii-a","located_at","repo-cambridge-corpus","certain","ECR pilot"
"ms-ecr-iii-a","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-iii-a","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-iii-a","has_reference","ref-ms-ecr-iii-a-digital","certain","ECR pilot"
