"subject","predicate","object","certainty","source"
"ECR-IV","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-IV","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-IV","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-IV","documents_event","event-ecr-iv-record-context","probable","ECR pilot"
"ECR-IV","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-IV","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-IV","associated_with","actor-ethelred-ii","probable","ECR pilot"
"ECR-IV","associated_with","actor-henry-i","probable","ECR pilot"
"ECR-IV","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-IV","associated_with","actor-british-library","certain","ECR pilot"
"ECR-IV","preserved_in","ms-ecr-iv-a","certain","ECR pilot"
"ms-ecr-iv-a","has_event","event-ms-ecr-iv-a-source","certain","ECR pilot"
"ms-ecr-iv-a","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-iv-a","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-iv-a","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-iv-a","associated_with","actor-british-library","probable","ECR pilot"
