"subject","predicate","object","certainty","source"
"ECR-IX","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-IX","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-IX","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-IX","documents_event","event-ecr-ix-record-context","probable","ECR pilot"
"ECR-IX","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-IX","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-IX","associated_with","actor-henry-iii","probable","ECR pilot"
"ECR-IX","preserved_in","ms-ecr-ix-src","certain","ECR pilot"
"ms-ecr-ix-src","has_event","event-ms-ecr-ix-src-source","certain","ECR pilot"
"ms-ecr-ix-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-ix-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-ix-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-ix-src","associated_with","actor-british-library","probable","ECR pilot"
