"subject","predicate","object","certainty","source"
"ECR-V","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-V","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-V","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-V","documents_event","event-ecr-v-record-context","probable","ECR pilot"
"ECR-V","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-V","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-V","associated_with","actor-henry-ii","probable","ECR pilot"
"ECR-V","associated_with","actor-alexander-iii","probable","ECR pilot"
"ECR-V","associated_with","actor-roger-york","probable","ECR pilot"
"ECR-V","associated_with","actor-thomas-becket","probable","ECR pilot"
"ECR-V","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-V","associated_with","actor-york","certain","ECR pilot"
"ECR-V","preserved_in","ms-ecr-v-src","certain","ECR pilot"
"ms-ecr-v-src","has_event","event-ms-ecr-v-src-source","certain","ECR pilot"
"ms-ecr-v-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-v-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-v-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-v-src","associated_with","actor-british-library","probable","ECR pilot"
