"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-columba","St Columba","E21 Person","actor","person","saint / consecrating figure",""
"actor-richard-i","Richard I","E21 Person","actor","person","royal coronation context",""
"actor-john","King John","E21 Person","actor","person","royal coronation context",""
"actor-edward-ii","Edward II","E21 Person","actor","person","royal coronation context",""
"actor-richard-ii","Richard II","E21 Person","actor","person","royal coronation context",""
"actor-charles-i","Charles I","E21 Person","actor","person","royal coronation context",""
"actor-charles-ii","Charles II","E21 Person","actor","person","royal coronation context",""
"actor-george-iv","George IV","E21 Person","actor","person","royal coronation context",""
"actor-edward-walker","Sir Edward Walker","E21 Person","actor","person","Garter King of Arms / compiler",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf"
