"subject","predicate","object","certainty","source"
"ECR-VI","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-VI","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-VI","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-VI","documents_event","event-ecr-vi-record-context","probable","ECR pilot"
"ECR-VI","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-VI","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-VI","associated_with","actor-columba","probable","ECR pilot"
"ECR-VI","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-VI","associated_with","actor-john","probable","ECR pilot"
"ECR-VI","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-VI","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-VI","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-VI","associated_with","actor-charles-ii","probable","ECR pilot"
"ECR-VI","associated_with","actor-george-iv","probable","ECR pilot"
"ECR-VI","associated_with","actor-edward-walker","probable","ECR pilot"
"ECR-VI","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-VI","associated_with","actor-bnf","certain","ECR pilot"
"ECR-VI","preserved_in","ms-ecr-vi-src","certain","ECR pilot"
"ms-ecr-vi-src","has_event","event-ms-ecr-vi-src-source","certain","ECR pilot"
"ms-ecr-vi-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-vi-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-vi-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-vi-src","associated_with","actor-british-library","probable","ECR pilot"
