"subject","predicate","object","certainty","source"
"ECR-VII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-VII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-VII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-VII","documents_event","event-ecr-vii-record-context","probable","ECR pilot"
"ECR-VII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-VII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-VII","associated_with","actor-henry-iii","probable","ECR pilot"
"ECR-VII","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-VII","associated_with","actor-john","probable","ECR pilot"
"ECR-VII","preserved_in","ms-ecr-vii-src","certain","ECR pilot"
"ms-ecr-vii-src","has_event","event-ms-ecr-vii-src-source","certain","ECR pilot"
"ms-ecr-vii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-vii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-vii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-vii-src","associated_with","actor-british-library","probable","ECR pilot"
