"subject","predicate","object","certainty","source"
"ECR-VIII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-VIII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-VIII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-VIII","documents_event","event-ecr-viii-record-context","probable","ECR pilot"
"ECR-VIII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-VIII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-VIII","associated_with","actor-henry-iii","probable","ECR pilot"
"ECR-VIII","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-VIII","associated_with","actor-john","probable","ECR pilot"
"ECR-VIII","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-VIII","preserved_in","ms-ecr-viii-src","certain","ECR pilot"
"ms-ecr-viii-src","has_event","event-ms-ecr-viii-src-source","certain","ECR pilot"
"ms-ecr-viii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-viii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-viii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-viii-src","associated_with","actor-british-library","probable","ECR pilot"
