"subject","predicate","object","certainty","source"
"ECR-X","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-X","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-X","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-X","documents_event","event-ecr-x-record-context","probable","ECR pilot"
"ECR-X","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-X","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-X","associated_with","actor-henry-ii","probable","ECR pilot"
"ECR-X","associated_with","actor-john","probable","ECR pilot"
"ECR-X","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-X","associated_with","actor-henry-iv","probable","ECR pilot"
"ECR-X","associated_with","actor-henry-vi","probable","ECR pilot"
"ECR-X","associated_with","actor-henry-vii","probable","ECR pilot"
"ECR-X","associated_with","actor-thomas-becket","probable","ECR pilot"
"ECR-X","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-X","preserved_in","ms-ecr-x-src","certain","ECR pilot"
"ms-ecr-x-src","has_event","event-ms-ecr-x-src-source","certain","ECR pilot"
"ms-ecr-x-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-x-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-x-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-x-src","associated_with","actor-british-library","probable","ECR pilot"
