"subject","predicate","object","certainty","source"
"ECR-XI","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XI","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XI","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XI","documents_event","event-ecr-xi-record-context","probable","ECR pilot"
"ECR-XI","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XI","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XI","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-XI","preserved_in","ms-ecr-xi-src","certain","ECR pilot"
"ms-ecr-xi-src","has_event","event-ms-ecr-xi-src-source","certain","ECR pilot"
"ms-ecr-xi-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xi-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xi-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xi-src","associated_with","actor-british-library","probable","ECR pilot"
