"subject","predicate","object","certainty","source"
"ECR-XII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XII","documents_event","event-ecr-xii-record-context","probable","ECR pilot"
"ECR-XII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XII","associated_with","actor-henry-iii","probable","ECR pilot"
"ECR-XII","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-XII","preserved_in","ms-ecr-xii-src","certain","ECR pilot"
"ms-ecr-xii-src","has_event","event-ms-ecr-xii-src-source","certain","ECR pilot"
"ms-ecr-xii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xii-src","associated_with","actor-british-library","probable","ECR pilot"
