"subject","predicate","object","certainty","source"
"ECR-XIII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XIII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XIII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XIII","documents_event","event-ecr-xiii-record-context","probable","ECR pilot"
"ECR-XIII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XIII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XIII","associated_with","actor-columba","probable","ECR pilot"
"ECR-XIII","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-XIII","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-XIII","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XIII","preserved_in","ms-ecr-xiii-a","certain","ECR pilot"
"ms-ecr-xiii-a","has_event","event-ms-ecr-xiii-a-source","certain","ECR pilot"
"ms-ecr-xiii-a","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xiii-a","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xiii-a","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xiii-a","associated_with","actor-british-library","probable","ECR pilot"
"ms-ecr-xiii-a","has_reference","ref-ms-ecr-xiii-a-digital","certain","ECR pilot"
"ms-ecr-xiii-a","has_reference","ref-ms-ecr-xiii-a-iiif","certain","ECR pilot"
