"subject","predicate","object","certainty","source"
"ECR-XIV","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XIV","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XIV","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XIV","documents_event","event-ecr-xiv-record-context","probable","ECR pilot"
"ECR-XIV","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XIV","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XIV","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-XIV","associated_with","actor-john","probable","ECR pilot"
"ECR-XIV","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-XIV","associated_with","actor-james-i","probable","ECR pilot"
"ECR-XIV","associated_with","actor-james-ii","probable","ECR pilot"
"ECR-XIV","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XIV","preserved_in","ms-ecr-xiv-src","certain","ECR pilot"
"ms-ecr-xiv-src","has_event","event-ms-ecr-xiv-src-source","certain","ECR pilot"
"ms-ecr-xiv-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xiv-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xiv-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xiv-src","associated_with","actor-british-library","probable","ECR pilot"
