"subject","predicate","object","certainty","source"
"ECR-XIX","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XIX","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XIX","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XIX","documents_event","event-ecr-xix-record-context","probable","ECR pilot"
"ECR-XIX","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XIX","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XIX","associated_with","actor-john","probable","ECR pilot"
"ECR-XIX","associated_with","actor-henry-vi","probable","ECR pilot"
"ECR-XIX","associated_with","actor-henry-vii","probable","ECR pilot"
"ECR-XIX","preserved_in","ms-ecr-xix-src","certain","ECR pilot"
"ms-ecr-xix-src","has_event","event-ms-ecr-xix-src-source","certain","ECR pilot"
"ms-ecr-xix-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xix-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xix-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xix-src","associated_with","actor-british-library","probable","ECR pilot"
