"subject","predicate","object","certainty","source"
"ECR-XV","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XV","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XV","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XV","documents_event","event-ecr-xv-record-context","probable","ECR pilot"
"ECR-XV","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XV","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XV","associated_with","actor-columba","probable","ECR pilot"
"ECR-XV","associated_with","actor-henry-iv","probable","ECR pilot"
"ECR-XV","associated_with","actor-victoria","probable","ECR pilot"
"ECR-XV","associated_with","actor-thomas-becket","probable","ECR pilot"
"ECR-XV","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XV","preserved_in","ms-ecr-xv-src","certain","ECR pilot"
"ms-ecr-xv-src","has_event","event-ms-ecr-xv-src-source","certain","ECR pilot"
"ms-ecr-xv-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xv-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xv-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xv-src","associated_with","actor-british-library","probable","ECR pilot"
