"subject","predicate","object","certainty","source"
"ECR-XVI","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XVI","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XVI","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XVI","documents_event","event-ecr-xvi-record-context","probable","ECR pilot"
"ECR-XVI","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XVI","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XVI","associated_with","actor-columba","probable","ECR pilot"
"ECR-XVI","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XVI","associated_with","actor-york","certain","ECR pilot"
"ECR-XVI","preserved_in","ms-ecr-xvi-src","certain","ECR pilot"
"ms-ecr-xvi-src","has_event","event-ms-ecr-xvi-src-source","certain","ECR pilot"
"ms-ecr-xvi-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xvi-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xvi-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xvi-src","associated_with","actor-british-library","probable","ECR pilot"
