"subject","predicate","object","certainty","source"
"ECR-XVII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XVII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XVII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XVII","documents_event","event-ecr-xvii-record-context","probable","ECR pilot"
"ECR-XVII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XVII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XVII","preserved_in","ms-ecr-xvii-src","certain","ECR pilot"
"ms-ecr-xvii-src","has_event","event-ms-ecr-xvii-src-source","certain","ECR pilot"
"ms-ecr-xvii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xvii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xvii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xvii-src","associated_with","actor-british-library","probable","ECR pilot"
