"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-richard-i","Richard I","E21 Person","actor","person","royal coronation context",""
"actor-john","King John","E21 Person","actor","person","royal coronation context",""
"actor-richard-ii","Richard II","E21 Person","actor","person","royal coronation context",""
"actor-henry-iv","Henry IV","E21 Person","actor","person","royal coronation context",""
"actor-henry-vi","Henry VI","E21 Person","actor","person","royal coronation context",""
"actor-richard-iii","Richard III","E21 Person","actor","person","royal coronation context",""
"actor-william-mary","William III and Mary II","E21 Person","actor","person","joint coronation context",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
