"subject","predicate","object","certainty","source"
"ECR-XVIII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XVIII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XVIII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XVIII","documents_event","event-ecr-xviii-record-context","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XVIII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XVIII","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-john","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-henry-iv","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-henry-vi","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-richard-iii","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-william-mary","probable","ECR pilot"
"ECR-XVIII","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XVIII","preserved_in","ms-ecr-xviii-src","certain","ECR pilot"
"ms-ecr-xviii-src","has_event","event-ms-ecr-xviii-src-source","certain","ECR pilot"
"ms-ecr-xviii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xviii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xviii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xviii-src","associated_with","actor-british-library","probable","ECR pilot"
