"subject","predicate","object","certainty","source"
"ECR-XXI","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXI","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXI","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXI","documents_event","event-ecr-xxi-record-context","probable","ECR pilot"
"ECR-XXI","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXI","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXI","associated_with","actor-henry-vi","probable","ECR pilot"
"ECR-XXI","associated_with","actor-henry-vii","probable","ECR pilot"
"ECR-XXI","associated_with","actor-british-library","certain","ECR pilot"
"ECR-XXI","preserved_in","ms-ecr-xxi-src","certain","ECR pilot"
"ms-ecr-xxi-src","has_event","event-ms-ecr-xxi-src-source","certain","ECR pilot"
"ms-ecr-xxi-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxi-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxi-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxi-src","associated_with","actor-british-library","probable","ECR pilot"
