"subject","predicate","object","certainty","source"
"ECR-XXII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXII","documents_event","event-ecr-xxii-record-context","probable","ECR pilot"
"ECR-XXII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXII","associated_with","actor-elizabeth-i","probable","ECR pilot"
"ECR-XXII","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-XXII","preserved_in","ms-ecr-xxii-src","certain","ECR pilot"
"ms-ecr-xxii-src","has_event","event-ms-ecr-xxii-src-source","certain","ECR pilot"
"ms-ecr-xxii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxii-src","associated_with","actor-british-library","probable","ECR pilot"
