"subject","predicate","object","certainty","source"
"ECR-XXIII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXIII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXIII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXIII","documents_event","event-ecr-xxiii-record-context","probable","ECR pilot"
"ECR-XXIII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXIII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXIII","associated_with","actor-john","probable","ECR pilot"
"ECR-XXIII","associated_with","actor-james-i","probable","ECR pilot"
"ECR-XXIII","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-XXIII","associated_with","actor-charles-ii","probable","ECR pilot"
"ECR-XXIII","associated_with","actor-james-ii","probable","ECR pilot"
"ECR-XXIII","preserved_in","ms-ecr-xxiii-src","certain","ECR pilot"
"ms-ecr-xxiii-src","has_event","event-ms-ecr-xxiii-src-source","certain","ECR pilot"
"ms-ecr-xxiii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxiii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxiii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxiii-src","associated_with","actor-british-library","probable","ECR pilot"
