"subject","predicate","object","certainty","source"
"ECR-XXIV","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXIV","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXIV","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXIV","documents_event","event-ecr-xxiv-record-context","probable","ECR pilot"
"ECR-XXIV","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXIV","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXIV","preserved_in","ms-ecr-xxiv-src","certain","ECR pilot"
"ms-ecr-xxiv-src","has_event","event-ms-ecr-xxiv-src-source","certain","ECR pilot"
"ms-ecr-xxiv-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxiv-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxiv-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxiv-src","associated_with","actor-british-library","probable","ECR pilot"
