"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-harold-ii","Harold II","E21 Person","actor","person","possible coronation context",""
"actor-william-conqueror","William the Conqueror","E21 Person","actor","person","royal coronation context",""
"actor-richard-i","Richard I","E21 Person","actor","person","royal coronation context",""
"actor-john","King John","E21 Person","actor","person","royal coronation context",""
"actor-edward-ii","Edward II","E21 Person","actor","person","royal coronation context",""
"actor-charles-i","Charles I","E21 Person","actor","person","royal coronation context",""
"actor-william-mary","William III and Mary II","E21 Person","actor","person","joint coronation context",""
"actor-victoria","Queen Victoria","E21 Person","actor","person","royal coronation context",""
"actor-roger-york","Roger de Pont l'Évêque, Archbishop of York","E21 Person","actor","person","archiepiscopal actor",""
"actor-canterbury","Archbishopric of Canterbury","E74 Group","actor","institution","claimant/coronation authority","place-canterbury"
"actor-york","Archbishopric of York","E74 Group","actor","institution","rival/participating coronation authority","place-york"
