"subject","predicate","object","certainty","source"
"ECR-XXIX","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXIX","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXIX","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXIX","documents_event","event-ecr-xxix-record-context","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXIX","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXIX","associated_with","actor-harold-ii","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-william-conqueror","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-richard-i","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-john","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-edward-ii","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-william-mary","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-victoria","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-roger-york","probable","ECR pilot"
"ECR-XXIX","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XXIX","associated_with","actor-york","certain","ECR pilot"
"ECR-XXIX","preserved_in","ms-ecr-xxix-src","certain","ECR pilot"
"ms-ecr-xxix-src","has_event","event-ms-ecr-xxix-src-source","certain","ECR pilot"
"ms-ecr-xxix-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxix-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxix-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxix-src","associated_with","actor-british-library","probable","ECR pilot"
