"id","label","openatlasClass","systemClass","type","role","placeId"
"actor-leopold-legg","Leopold G. Wickham Legg","E21 Person","actor","editor","editor of English Coronation Records",""
"actor-english-coronation-tradition","English coronation tradition","E74 Group","actor","institution","ritual and documentary tradition","place-westminster-abbey"
"actor-westminster-abbey","Westminster Abbey","E74 Group","actor","institution","coronation church / institutional context","place-westminster-abbey"
"actor-john","King John","E21 Person","actor","person","royal coronation context",""
"actor-richard-ii","Richard II","E21 Person","actor","person","royal coronation context",""
"actor-charles-i","Charles I","E21 Person","actor","person","royal coronation context",""
"actor-charles-ii","Charles II","E21 Person","actor","person","royal coronation context",""
"actor-compton","Henry Compton, Bishop of London","E21 Person","actor","person","Bishop of London / service reviser",""
"actor-edward-walker","Sir Edward Walker","E21 Person","actor","person","Garter King of Arms / compiler",""
"actor-samuel-pepys","Samuel Pepys","E21 Person","actor","person","eyewitness / diarist",""
"actor-york","Archbishopric of York","E74 Group","actor","institution","rival/participating coronation authority","place-york"
