"subject","predicate","object","certainty","source"
"ECR-XXV","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXV","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXV","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXV","documents_event","event-ecr-xxv-record-context","probable","ECR pilot"
"ECR-XXV","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXV","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXV","associated_with","actor-john","probable","ECR pilot"
"ECR-XXV","associated_with","actor-richard-ii","probable","ECR pilot"
"ECR-XXV","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-XXV","associated_with","actor-charles-ii","probable","ECR pilot"
"ECR-XXV","associated_with","actor-compton","probable","ECR pilot"
"ECR-XXV","associated_with","actor-edward-walker","probable","ECR pilot"
"ECR-XXV","associated_with","actor-samuel-pepys","probable","ECR pilot"
"ECR-XXV","associated_with","actor-york","certain","ECR pilot"
"ECR-XXV","preserved_in","ms-ecr-xxv-src","certain","ECR pilot"
"ms-ecr-xxv-src","has_event","event-ms-ecr-xxv-src-source","certain","ECR pilot"
"ms-ecr-xxv-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxv-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxv-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxv-src","associated_with","actor-british-library","probable","ECR pilot"
