"subject","predicate","object","certainty","source"
"ECR-XXVI","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXVI","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXVI","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXVI","documents_event","event-ecr-xxvi-record-context","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXVI","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXVI","associated_with","actor-john","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-james-i","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-charles-i","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-james-ii","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-sancroft","probable","ECR pilot"
"ECR-XXVI","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XXVI","preserved_in","ms-ecr-xxvi-src","certain","ECR pilot"
"ms-ecr-xxvi-src","has_event","event-ms-ecr-xxvi-src-source","certain","ECR pilot"
"ms-ecr-xxvi-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxvi-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxvi-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxvi-src","associated_with","actor-british-library","probable","ECR pilot"
