"subject","predicate","object","certainty","source"
"ECR-XXVII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXVII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXVII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXVII","documents_event","event-ecr-xxvii-record-context","probable","ECR pilot"
"ECR-XXVII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXVII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXVII","associated_with","actor-william-conqueror","probable","ECR pilot"
"ECR-XXVII","associated_with","actor-james-i","probable","ECR pilot"
"ECR-XXVII","associated_with","actor-james-ii","probable","ECR pilot"
"ECR-XXVII","associated_with","actor-william-mary","probable","ECR pilot"
"ECR-XXVII","associated_with","actor-compton","probable","ECR pilot"
"ECR-XXVII","preserved_in","ms-ecr-xxvii-src","certain","ECR pilot"
"ms-ecr-xxvii-src","has_event","event-ms-ecr-xxvii-src-source","certain","ECR pilot"
"ms-ecr-xxvii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxvii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxvii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxvii-src","associated_with","actor-british-library","probable","ECR pilot"
