"subject","predicate","object","certainty","source"
"ECR-XXVIII","belongs_to_tradition","tradition-english","certain","ECR pilot"
"ECR-XXVIII","edited_by","actor-leopold-legg","certain","ECR pilot"
"ECR-XXVIII","has_reference","ref-legg-1901","certain","ECR pilot"
"ECR-XXVIII","documents_event","event-ecr-xxviii-record-context","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ECR-XXVIII","associated_with","actor-westminster-abbey","certain","ECR pilot"
"ECR-XXVIII","associated_with","actor-william-conqueror","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-john","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-william-mary","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-george-iv","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-victoria","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-roger-york","probable","ECR pilot"
"ECR-XXVIII","associated_with","actor-canterbury","certain","ECR pilot"
"ECR-XXVIII","associated_with","actor-york","certain","ECR pilot"
"ECR-XXVIII","associated_with","actor-bnf","certain","ECR pilot"
"ECR-XXVIII","preserved_in","ms-ecr-xxviii-src","certain","ECR pilot"
"ms-ecr-xxviii-src","has_event","event-ms-ecr-xxviii-src-source","certain","ECR pilot"
"ms-ecr-xxviii-src","located_at","repo-london-british-library","certain","ECR pilot"
"ms-ecr-xxviii-src","has_reference","ref-legg-1901","certain","ECR pilot"
"ms-ecr-xxviii-src","associated_with","actor-english-coronation-tradition","certain","ECR pilot"
"ms-ecr-xxviii-src","associated_with","actor-british-library","probable","ECR pilot"
