"id","label","type","placeId","start","end","description","openatlasClass"
"event-ms-hre-i-src-copy","SRC copying/use context","copying_or_transmission","place-mainz-context","before 960","before 960","Geographic/textual anchor from Elze: Mainz?, before 960.","E5 Event"
"event-ms-hre-i-a-copy","A copying/use context","copying_or_transmission","repo-munich-bsb","ca. 1100","ca. 1100","Pontificale Romano-Germanicum; principal Ottonian coronation witness already present in the HRE detail record.","E5 Event"
"event-ms-hre-i-b-copy","B copying/use context","copying_or_transmission","repo-vatican-bav","11th century","11th century","Pontificale Romano-Germanicum; Vatican witness already present in the HRE detail record.","E5 Event"
"event-ms-hre-i-a1-copy","A1 copying/use context","copying_or_transmission","place-mainz-context","before 960 / transmitted witness","before 960 / transmitted witness","Elze siglum G; exact modern repository not resolved in this pilot.","E5 Event"
"event-ms-hre-i-a2-copy","A2 copying/use context","copying_or_transmission","repo-pistoia-capitular","11th century","11th century","","E5 Event"
"event-ms-hre-i-a3-copy","A3 copying/use context","copying_or_transmission","repo-eichstaett","11th century","11th century","","E5 Event"
"event-ms-hre-i-a4-copy","A4 copying/use context","copying_or_transmission","repo-wolfenbuettel-hab","12th century","12th century","","E5 Event"
"event-ms-hre-i-a5-copy","A5 copying/use context","copying_or_transmission","repo-cambridge-corpus","11th century","11th century","","E5 Event"
"event-ms-hre-i-a6-copy","A6 copying/use context","copying_or_transmission","repo-bamberg-staatsbibliothek","11th century","11th century","","E5 Event"
"event-ms-hre-i-a7-copy","A7 copying/use context","copying_or_transmission","repo-bamberg-staatsbibliothek","11th century","11th century","","E5 Event"
"event-ms-hre-i-a8-copy","A8 copying/use context","copying_or_transmission","repo-schaffhausen","11th century","11th century","","E5 Event"
"event-ms-hre-i-a9-copy","A9 copying/use context","copying_or_transmission","repo-troyes-bm","11th century","11th century","","E5 Event"
"event-ms-hre-i-b1-copy","B1 copying/use context","copying_or_transmission","repo-montecassino","11th century","11th century","","E5 Event"
"event-ms-hre-i-b2-copy","B2 copying/use context","copying_or_transmission","repo-rome-vallicelliana","11th century","11th century","","E5 Event"
"event-ms-hre-i-b3-copy","B3 copying/use context","copying_or_transmission","repo-venice-marciana","11th century","11th century","","E5 Event"
"event-ms-hre-i-b4-copy","B4 copying/use context","copying_or_transmission","repo-paris-bnf","11th century","11th century","","E5 Event"
"event-ms-hre-i-c1-copy","C1 copying/use context","copying_or_transmission","repo-bamberg-staatsbibliothek","12th century","12th century","","E5 Event"
"event-ms-hre-i-c2-copy","C2 copying/use context","copying_or_transmission","repo-bamberg-staatsbibliothek","12th century","12th century","","E5 Event"
"event-ms-hre-i-c3-copy","C3 copying/use context","copying_or_transmission","repo-london-british-library","11th century","11th century","Elze notes collation by Herre.","E5 Event"
"event-ms-hre-i-c4-copy","C4 copying/use context","copying_or_transmission","repo-wolfenbuettel-hab","12th century","12th century","","E5 Event"
"event-ms-hre-i-d1-copy","D1 copying/use context","copying_or_transmission","repo-berlin-staatsbibliothek","12th/13th century","12th/13th century","Chartulare aus Aachen witness.","E5 Event"
"event-ms-hre-i-d2-copy","D2 copying/use context","copying_or_transmission","repo-london-british-library","12th/13th century","12th/13th century","Chartulare aus Aachen witness.","E5 Event"
"event-ms-hre-i-nv1-copy","NV1 copying/use context","copying_or_transmission","repo-dresden-slub","13th century","13th century","Elze: nicht verwendet; faulty, related to A.","E5 Event"
"event-ms-hre-i-nv2-copy","NV2 copying/use context","copying_or_transmission","repo-engelberg-abbey","12th/13th century","12th/13th century","Elze: nicht verwendet; equivalent to A8.","E5 Event"
"event-ms-hre-i-nv3-copy","NV3 copying/use context","copying_or_transmission","repo-paris-bnf","11th century","11th century","Elze: nicht verwendet; related to B3/B4.","E5 Event"
"event-ms-hre-i-nv4-copy","NV4 copying/use context","copying_or_transmission","repo-vitry-bm","11th century","11th century","Elze: nicht verwendet; related to B3/B4.","E5 Event"
"event-ms-hre-i-nv5-copy","NV5 copying/use context","copying_or_transmission","repo-vatican-bav","13th century","13th century","Elze: nicht verwendet; related to B.","E5 Event"
