"subject","predicate","object","certainty","source"
"HRE-I","belongs_to_tradition","tradition-hre","certain","HRE-I pilot"
"HRE-I","edited_by","actor-reinhard-elze","certain","HRE-I pilot"
"HRE-I","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-src","certain","HRE-I pilot"
"ms-hre-i-src","has_event","event-ms-hre-i-src-copy","certain","HRE-I pilot"
"ms-hre-i-src","located_at","place-mainz-context","certain","HRE-I pilot"
"ms-hre-i-src","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-src","associated_with","actor-mainz-church","probable","HRE-I pilot"
"ms-hre-i-src","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-a","certain","HRE-I pilot"
"ms-hre-i-a","has_event","event-ms-hre-i-a-copy","certain","HRE-I pilot"
"ms-hre-i-a","located_at","repo-munich-bsb","certain","HRE-I pilot"
"ms-hre-i-a","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-a","associated_with","actor-bsb","certain","HRE-I pilot"
"ms-hre-i-a","associated_with","actor-augsburg-church","probable","HRE-I pilot"
"ms-hre-i-a","has_reference","ref-bsb-clm-3917","certain","HRE-I pilot"
"ms-hre-i-a","has_reference","ref-bsb-clm-3917-iiif","certain","HRE-I pilot"
"ms-hre-i-a","associated_with","actor-ottonian-imperial-tradition","probable","HRE-I pilot"
"HRE-I","preserved_in","ms-hre-i-b","certain","HRE-I pilot"
"ms-hre-i-b","has_event","event-ms-hre-i-b-copy","certain","HRE-I pilot"
"ms-hre-i-b","located_at","repo-vatican-bav","certain","HRE-I pilot"
"ms-hre-i-b","has_reference","ref-elze-1960-ordo-i","certain","HRE-I pilot"
"ms-hre-i-b","associated_with","actor-bav","certain","HRE-I pilot"
"ms-hre-i-b","has_reference","ref-bav-vat-lat-7114","certain","HRE-I pilot"
