"id","siglum","shelfmark","repositoryPlaceId","currentRepository","lat","lon","date","folios","group","origin","witnessType","sourceLabel","digitalUrl","iiifUrl","description","bibliography","openatlasClass","systemClass"
"ms-hre-ii-src","SRC","Mainz, source tradition anchor","place-mainz-source-tradition-anchor","Mainz, source tradition anchor","50","8.2711","before 960","","reference","Mainz? textual-context anchor","reference","","","","Geographic anchor inferred from HRE source dateline place: Mainz?.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a","A","Munich, BSB, Clm 3917","repo-munich-bsb","Bayerische Staatsbibliothek, Munich","48.1486","11.5802","ca. 1100","","manuscript","Augsburg","primary","","https://www.digitale-sammlungen.de/en/view/bsb00106697","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00106697/manifest","Pontificale Romano-Germanicum; transmits Western Ordo.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-b","B","Vatican City, BAV, Vat. lat. 7114","repo-vatican-bav","Biblioteca Apostolica Vaticana","41.904","12.4545","11th century","","manuscript","Germany (Ottonian realm)","primary","","https://digi.vatlib.it/view/MSS_Vat.lat.7114","https://digi.vatlib.it/iiif/MSS_Vat.lat.7114/manifest.json","Vatican witness for Western Ordo.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-c","C","Munich, BSB, Clm 6425","repo-munich-bsb","Bayerische Staatsbibliothek, Munich (prov. Freising Cathedral Library)","48.1486","11.5802","2nd quarter 11th century","","manuscript","Freising","primary","","https://www.digitale-sammlungen.de/en/view/bsb00060090","https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00060090/manifest","Pontificale Egilberti; transmits HRE-II and HRE-VI union redaction.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a1","A1","Lucca, Biblioteca Capitolare, MS 607","repo-lucca-capitular","Lucca, Biblioteca Capitolare","43.843","10.507","10th century","fols. 91r-92r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a2","A2","Pistoia, Biblioteca Capitolare, MS O 141","repo-pistoia-capitular","Pistoia, Biblioteca Capitolare","43.9333","10.9167","11th century","fols. 73v-74r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a3","A3","Eichstätt, Pontifical of Gundekar","repo-eichstaett","Eichstätt, Pontifical of Gundekar","48.8912","11.1839","11th century","fols. 56v-57r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a5","A5","Cambridge, Corpus Christi College, MS 163","repo-cambridge-corpus","Cambridge, Corpus Christi College","52.2053","0.1192","11th century","pp. 195-197","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a6","A6","Bamberg, Staatsbibliothek, Msc. Lit. 50","repo-bamberg-staatsbibliothek","Bamberg, Staatsbibliothek","49.8917","10.886","11th century","fols. 28v-31r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a7","A7","Bamberg, Staatsbibliothek, Msc. Lit. 53","repo-bamberg-staatsbibliothek","Bamberg, Staatsbibliothek","49.8917","10.886","11th century","fols. 17r-18r","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-a8","A8","Schaffhausen, MS 94","repo-schaffhausen","Schaffhausen, MS 94","47.6965","8.6339","11th century","fols. 40v-43v","A","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-b1","B1","Montecassino, MS 451","repo-montecassino","Montecassino, MS 451","41.4905","13.8138","11th century","fols. 64r-65r","B","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-b2","B2","Rome, Biblioteca Vallicelliana, MS D 5","repo-rome-vallicelliana","Rome, Biblioteca Vallicelliana","41.8986","12.4698","11th century","fols. 58r-59r","B","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-b3","B3","Venice, Biblioteca Marciana, MS 14","repo-venice-marciana","Venice, Biblioteca Marciana","45.434","12.3397","11th century","fols. 50r-51r","B","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-b4","B4","Paris, BnF, MS lat. 820","repo-paris-bnf","Paris, BnF","48.8336","2.3758","11th century","fols. 66v-67v","B","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
"ms-hre-ii-c1","C1","Bamberg, Staatsbibliothek, Msc. Lit. 52","repo-bamberg-staatsbibliothek","Bamberg, Staatsbibliothek","49.8917","10.886","12th century","fols. 50v-56r","C","Mainz? textual-context anchor","primary","","","","Witness listed in Elze for this HRE ordo; structured here as a pilot entity.","Reinhard Elze (ed.), Ordines Coronationis Imperialis (1960).","E22 Human-Made Object","artifact"
