"id","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","description"
"move-ms-hre-ii-src","ms-hre-ii-src","place-mainz-context","place-mainz-source-tradition-anchor","before 960","before 960","derived","Research context line for SRC: Mainz? textual-context anchor -> Mainz, source tradition anchor."
"move-ms-hre-ii-a","ms-hre-ii-a","place-mainz-context","repo-munich-bsb","ca. 1100","ca. 1100","probable","Research context line for A: Mainz? textual-context anchor -> Bayerische Staatsbibliothek, Munich."
"move-ms-hre-ii-b","ms-hre-ii-b","place-mainz-context","repo-vatican-bav","11th century","11th century","probable","Research context line for B: Mainz? textual-context anchor -> Biblioteca Apostolica Vaticana."
"move-ms-hre-ii-c","ms-hre-ii-c","place-mainz-context","repo-munich-bsb","2nd quarter 11th century","2nd quarter 11th century","probable","Research context line for C: Mainz? textual-context anchor -> Bayerische Staatsbibliothek, Munich (prov. Freising Cathedral Library)."
"move-ms-hre-ii-a1","ms-hre-ii-a1","place-mainz-context","repo-lucca-capitular","10th century","10th century","derived","Research context line for A1: Mainz? textual-context anchor -> Lucca, Biblioteca Capitolare."
"move-ms-hre-ii-a2","ms-hre-ii-a2","place-mainz-context","repo-pistoia-capitular","11th century","11th century","derived","Research context line for A2: Mainz? textual-context anchor -> Pistoia, Biblioteca Capitolare."
"move-ms-hre-ii-a3","ms-hre-ii-a3","place-mainz-context","repo-eichstaett","11th century","11th century","derived","Research context line for A3: Mainz? textual-context anchor -> Eichstätt, Pontifical of Gundekar."
"move-ms-hre-ii-a5","ms-hre-ii-a5","place-mainz-context","repo-cambridge-corpus","11th century","11th century","derived","Research context line for A5: Mainz? textual-context anchor -> Cambridge, Corpus Christi College."
"move-ms-hre-ii-a6","ms-hre-ii-a6","place-mainz-context","repo-bamberg-staatsbibliothek","11th century","11th century","derived","Research context line for A6: Mainz? textual-context anchor -> Bamberg, Staatsbibliothek."
"move-ms-hre-ii-a7","ms-hre-ii-a7","place-mainz-context","repo-bamberg-staatsbibliothek","11th century","11th century","derived","Research context line for A7: Mainz? textual-context anchor -> Bamberg, Staatsbibliothek."
"move-ms-hre-ii-a8","ms-hre-ii-a8","place-mainz-context","repo-schaffhausen","11th century","11th century","derived","Research context line for A8: Mainz? textual-context anchor -> Schaffhausen, MS 94."
"move-ms-hre-ii-b1","ms-hre-ii-b1","place-mainz-context","repo-montecassino","11th century","11th century","derived","Research context line for B1: Mainz? textual-context anchor -> Montecassino, MS 451."
"move-ms-hre-ii-b2","ms-hre-ii-b2","place-mainz-context","repo-rome-vallicelliana","11th century","11th century","derived","Research context line for B2: Mainz? textual-context anchor -> Rome, Biblioteca Vallicelliana."
"move-ms-hre-ii-b3","ms-hre-ii-b3","place-mainz-context","repo-venice-marciana","11th century","11th century","derived","Research context line for B3: Mainz? textual-context anchor -> Venice, Biblioteca Marciana."
"move-ms-hre-ii-b4","ms-hre-ii-b4","place-mainz-context","repo-paris-bnf","11th century","11th century","derived","Research context line for B4: Mainz? textual-context anchor -> Paris, BnF."
"move-ms-hre-ii-c1","ms-hre-ii-c1","place-mainz-context","repo-bamberg-staatsbibliothek","12th century","12th century","derived","Research context line for C1: Mainz? textual-context anchor -> Bamberg, Staatsbibliothek."
"move-ms-hre-ii-c2","ms-hre-ii-c2","place-mainz-context","repo-bamberg-staatsbibliothek","12th century","12th century","derived","Research context line for C2: Mainz? textual-context anchor -> Bamberg, Staatsbibliothek."
"move-ms-hre-ii-c3","ms-hre-ii-c3","place-mainz-context","repo-london-british-library","11th century","11th century","derived","Research context line for C3: Mainz? textual-context anchor -> London, British Library."
