"subject","predicate","object","certainty","source"
"HRE-II","preserved_in","ms-hre-ii-src","certain","HRE II-X pilot"
"ms-hre-ii-src","has_event","event-ms-hre-ii-src-transmission","certain","HRE II-X pilot"
"ms-hre-ii-src","located_at","place-mainz-source-tradition-anchor","certain","HRE II-X pilot"
"ms-hre-ii-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-src","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a","certain","HRE II-X pilot"
"ms-hre-ii-a","has_event","event-ms-hre-ii-a-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a","located_at","repo-munich-bsb","certain","HRE II-X pilot"
"ms-hre-ii-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"ms-hre-ii-a","has_reference","ref-ms-hre-ii-a-digital","certain","HRE II-X pilot"
"ms-hre-ii-a","has_reference","ref-ms-hre-ii-a-iiif","certain","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-b","certain","HRE II-X pilot"
"ms-hre-ii-b","has_event","event-ms-hre-ii-b-transmission","certain","HRE II-X pilot"
"ms-hre-ii-b","located_at","repo-vatican-bav","certain","HRE II-X pilot"
"ms-hre-ii-b","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-b","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-b","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"ms-hre-ii-b","has_reference","ref-ms-hre-ii-b-digital","certain","HRE II-X pilot"
"ms-hre-ii-b","has_reference","ref-ms-hre-ii-b-iiif","certain","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-c","certain","HRE II-X pilot"
"ms-hre-ii-c","has_event","event-ms-hre-ii-c-transmission","certain","HRE II-X pilot"
"ms-hre-ii-c","located_at","repo-munich-bsb","certain","HRE II-X pilot"
"ms-hre-ii-c","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-c","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-c","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"ms-hre-ii-c","has_reference","ref-ms-hre-ii-c-digital","certain","HRE II-X pilot"
"ms-hre-ii-c","has_reference","ref-ms-hre-ii-c-iiif","certain","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a1","certain","HRE II-X pilot"
"ms-hre-ii-a1","has_event","event-ms-hre-ii-a1-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a1","located_at","repo-lucca-capitular","certain","HRE II-X pilot"
"ms-hre-ii-a1","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a1","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a1","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a2","certain","HRE II-X pilot"
"ms-hre-ii-a2","has_event","event-ms-hre-ii-a2-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a2","located_at","repo-pistoia-capitular","certain","HRE II-X pilot"
"ms-hre-ii-a2","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a2","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a2","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a3","certain","HRE II-X pilot"
"ms-hre-ii-a3","has_event","event-ms-hre-ii-a3-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a3","located_at","repo-eichstaett","certain","HRE II-X pilot"
"ms-hre-ii-a3","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a3","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a3","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a5","certain","HRE II-X pilot"
"ms-hre-ii-a5","has_event","event-ms-hre-ii-a5-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a5","located_at","repo-cambridge-corpus","certain","HRE II-X pilot"
"ms-hre-ii-a5","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a5","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a5","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a6","certain","HRE II-X pilot"
"ms-hre-ii-a6","has_event","event-ms-hre-ii-a6-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a6","located_at","repo-bamberg-staatsbibliothek","certain","HRE II-X pilot"
"ms-hre-ii-a6","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a6","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a6","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a7","certain","HRE II-X pilot"
"ms-hre-ii-a7","has_event","event-ms-hre-ii-a7-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a7","located_at","repo-bamberg-staatsbibliothek","certain","HRE II-X pilot"
"ms-hre-ii-a7","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a7","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a7","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-a8","certain","HRE II-X pilot"
"ms-hre-ii-a8","has_event","event-ms-hre-ii-a8-transmission","certain","HRE II-X pilot"
"ms-hre-ii-a8","located_at","repo-schaffhausen","certain","HRE II-X pilot"
"ms-hre-ii-a8","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-a8","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-a8","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-b1","certain","HRE II-X pilot"
"ms-hre-ii-b1","has_event","event-ms-hre-ii-b1-transmission","certain","HRE II-X pilot"
"ms-hre-ii-b1","located_at","repo-montecassino","certain","HRE II-X pilot"
"ms-hre-ii-b1","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-b1","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-b1","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-b2","certain","HRE II-X pilot"
"ms-hre-ii-b2","has_event","event-ms-hre-ii-b2-transmission","certain","HRE II-X pilot"
"ms-hre-ii-b2","located_at","repo-rome-vallicelliana","certain","HRE II-X pilot"
"ms-hre-ii-b2","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-b2","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-b2","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-b3","certain","HRE II-X pilot"
"ms-hre-ii-b3","has_event","event-ms-hre-ii-b3-transmission","certain","HRE II-X pilot"
"ms-hre-ii-b3","located_at","repo-venice-marciana","certain","HRE II-X pilot"
"ms-hre-ii-b3","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-b3","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-b3","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-b4","certain","HRE II-X pilot"
"ms-hre-ii-b4","has_event","event-ms-hre-ii-b4-transmission","certain","HRE II-X pilot"
"ms-hre-ii-b4","located_at","repo-paris-bnf","certain","HRE II-X pilot"
"ms-hre-ii-b4","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-b4","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-b4","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-c1","certain","HRE II-X pilot"
"ms-hre-ii-c1","has_event","event-ms-hre-ii-c1-transmission","certain","HRE II-X pilot"
"ms-hre-ii-c1","located_at","repo-bamberg-staatsbibliothek","certain","HRE II-X pilot"
"ms-hre-ii-c1","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-c1","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-c1","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-c2","certain","HRE II-X pilot"
"ms-hre-ii-c2","has_event","event-ms-hre-ii-c2-transmission","certain","HRE II-X pilot"
"ms-hre-ii-c2","located_at","repo-bamberg-staatsbibliothek","certain","HRE II-X pilot"
"ms-hre-ii-c2","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-c2","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-c2","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","preserved_in","ms-hre-ii-c3","certain","HRE II-X pilot"
"ms-hre-ii-c3","has_event","event-ms-hre-ii-c3-transmission","certain","HRE II-X pilot"
"ms-hre-ii-c3","located_at","repo-london-british-library","certain","HRE II-X pilot"
"ms-hre-ii-c3","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ii-c3","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ii-c3","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-II","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-II","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-II","has_reference","ref-elze-1960","certain","HRE II-X pilot"
