"subject","predicate","object","certainty","source"
"HRE-IX","preserved_in","ms-hre-ix-src","certain","HRE II-X pilot"
"ms-hre-ix-src","has_event","event-ms-hre-ix-src-transmission","certain","HRE II-X pilot"
"ms-hre-ix-src","located_at","place-arras-source-tradition-anchor","certain","HRE II-X pilot"
"ms-hre-ix-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ix-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ix-src","associated_with","actor-arras-saint-vaast-context","derived","HRE II-X pilot"
"HRE-IX","preserved_in","ms-hre-ix-a","certain","HRE II-X pilot"
"ms-hre-ix-a","has_event","event-ms-hre-ix-a-transmission","certain","HRE II-X pilot"
"ms-hre-ix-a","located_at","repo-cologne-dombibliothek","certain","HRE II-X pilot"
"ms-hre-ix-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-ix-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-ix-a","associated_with","actor-arras-saint-vaast-context","derived","HRE II-X pilot"
"ms-hre-ix-a","has_reference","ref-ms-hre-ix-a-digital","certain","HRE II-X pilot"
"HRE-IX","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-IX","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-IX","has_reference","ref-elze-1960","certain","HRE II-X pilot"
