"subject","predicate","object","certainty","source"
"HRE-VI","preserved_in","ms-hre-vi-src","certain","HRE II-X pilot"
"ms-hre-vi-src","has_event","event-ms-hre-vi-src-transmission","certain","HRE II-X pilot"
"ms-hre-vi-src","located_at","place-freising-source-tradition-anchor","certain","HRE II-X pilot"
"ms-hre-vi-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-vi-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-vi-src","associated_with","actor-freising-ecclesiastical-context","derived","HRE II-X pilot"
"HRE-VI","preserved_in","ms-hre-vi-a","certain","HRE II-X pilot"
"ms-hre-vi-a","has_event","event-ms-hre-vi-a-transmission","certain","HRE II-X pilot"
"ms-hre-vi-a","located_at","repo-munich-bsb","certain","HRE II-X pilot"
"ms-hre-vi-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-vi-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-vi-a","associated_with","actor-freising-ecclesiastical-context","derived","HRE II-X pilot"
"ms-hre-vi-a","has_reference","ref-ms-hre-vi-a-digital","certain","HRE II-X pilot"
"ms-hre-vi-a","has_reference","ref-ms-hre-vi-a-iiif","certain","HRE II-X pilot"
"HRE-VI","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-VI","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-VI","has_reference","ref-elze-1960","certain","HRE II-X pilot"
