"subject","predicate","object","certainty","source"
"HRE-VII","preserved_in","ms-hre-vii-src","certain","HRE II-X pilot"
"ms-hre-vii-src","has_event","event-ms-hre-vii-src-transmission","certain","HRE II-X pilot"
"ms-hre-vii-src","located_at","place-verden-source-tradition-anchor","certain","HRE II-X pilot"
"ms-hre-vii-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-vii-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-vii-src","associated_with","actor-verden-diocesan-context","derived","HRE II-X pilot"
"HRE-VII","preserved_in","ms-hre-vii-a","certain","HRE II-X pilot"
"ms-hre-vii-a","has_event","event-ms-hre-vii-a-transmission","certain","HRE II-X pilot"
"ms-hre-vii-a","located_at","repo-bamberg-staatsbibliothek","certain","HRE II-X pilot"
"ms-hre-vii-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-vii-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-vii-a","associated_with","actor-verden-diocesan-context","derived","HRE II-X pilot"
"HRE-VII","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-VII","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-VII","has_reference","ref-elze-1960","certain","HRE II-X pilot"
