"subject","predicate","object","certainty","source"
"HRE-VIII","preserved_in","ms-hre-viii-src","certain","HRE II-X pilot"
"ms-hre-viii-src","has_event","event-ms-hre-viii-src-transmission","certain","HRE II-X pilot"
"ms-hre-viii-src","located_at","place-mainz-source-tradition-anchor","certain","HRE II-X pilot"
"ms-hre-viii-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-viii-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-viii-src","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-VIII","preserved_in","ms-hre-viii-a","certain","HRE II-X pilot"
"ms-hre-viii-a","has_event","event-ms-hre-viii-a-transmission","certain","HRE II-X pilot"
"ms-hre-viii-a","located_at","repo-milan-ambrosiana","certain","HRE II-X pilot"
"ms-hre-viii-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-viii-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-viii-a","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-VIII","preserved_in","ms-hre-viii-b","certain","HRE II-X pilot"
"ms-hre-viii-b","has_event","event-ms-hre-viii-b-transmission","certain","HRE II-X pilot"
"ms-hre-viii-b","located_at","repo-merseburg-cathedral","certain","HRE II-X pilot"
"ms-hre-viii-b","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-viii-b","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-viii-b","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-VIII","preserved_in","ms-hre-viii-c1","certain","HRE II-X pilot"
"ms-hre-viii-c1","has_event","event-ms-hre-viii-c1-transmission","certain","HRE II-X pilot"
"ms-hre-viii-c1","located_at","place-augsburg-context","certain","HRE II-X pilot"
"ms-hre-viii-c1","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-viii-c1","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-viii-c1","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-VIII","preserved_in","ms-hre-viii-c2","certain","HRE II-X pilot"
"ms-hre-viii-c2","has_event","event-ms-hre-viii-c2-transmission","certain","HRE II-X pilot"
"ms-hre-viii-c2","located_at","repo-munich-bsb","certain","HRE II-X pilot"
"ms-hre-viii-c2","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-viii-c2","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-viii-c2","associated_with","actor-mainz-textual-context-anchor","derived","HRE II-X pilot"
"HRE-VIII","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-VIII","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-VIII","has_reference","ref-elze-1960","certain","HRE II-X pilot"
