"subject","predicate","object","certainty","source"
"HRE-X","preserved_in","ms-hre-x-src","certain","HRE II-X pilot"
"ms-hre-x-src","has_event","event-ms-hre-x-src-transmission","certain","HRE II-X pilot"
"ms-hre-x-src","located_at","repo-vatican-bav","certain","HRE II-X pilot"
"ms-hre-x-src","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-x-src","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-x-src","associated_with","actor-rome-papal-curia-context","derived","HRE II-X pilot"
"HRE-X","preserved_in","ms-hre-x-a","certain","HRE II-X pilot"
"ms-hre-x-a","has_event","event-ms-hre-x-a-transmission","certain","HRE II-X pilot"
"ms-hre-x-a","located_at","repo-vatican-bav","certain","HRE II-X pilot"
"ms-hre-x-a","has_reference","ref-elze-1960","certain","HRE II-X pilot"
"ms-hre-x-a","associated_with","actor-hre-imperial-tradition","probable","HRE II-X pilot"
"ms-hre-x-a","associated_with","actor-rome-papal-curia-context","derived","HRE II-X pilot"
"ms-hre-x-a","has_reference","ref-ms-hre-x-a-digital","certain","HRE II-X pilot"
"ms-hre-x-a","has_reference","ref-ms-hre-x-a-iiif","certain","HRE II-X pilot"
"HRE-X","belongs_to_tradition","tradition-hre","certain","HRE II-X pilot"
"HRE-X","edited_by","actor-reinhard-elze","certain","HRE II-X pilot"
"HRE-X","has_reference","ref-elze-1960","certain","HRE II-X pilot"
