"subject","predicate","object","certainty","source"
"HRE-XIV","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XIV","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XIV","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XIV","preserved_in","ms-hre-xiv-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-src","has_event","event-ms-hre-xiv-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xiv-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
"HRE-XIV","preserved_in","ms-hre-xiv-a","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","has_event","event-ms-hre-xiv-a-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","associated_with","actor-cencius-camerarius","probable","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","has_reference","ref-ms-hre-xiv-a-digital","certain","HRE XI-XXVIIA pilot"
"ms-hre-xiv-a","has_reference","ref-ms-hre-xiv-a-iiif","certain","HRE XI-XXVIIA pilot"
