"subject","predicate","object","certainty","source"
"HRE-XVII","belongs_to_tradition","tradition-hre","certain","HRE XI-XXVIIA pilot"
"HRE-XVII","edited_by","actor-reinhard-elze","certain","HRE XI-XXVIIA pilot"
"HRE-XVII","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"HRE-XVII","preserved_in","ms-hre-xvii-src","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-src","has_event","event-ms-hre-xvii-src-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-src","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-src","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-src","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xvii-src","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
"HRE-XVII","preserved_in","ms-hre-xvii-a","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","has_event","event-ms-hre-xvii-a-context","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","located_at","repo-vatican-bav","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","has_reference","ref-elze-1960","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","associated_with","actor-hre-imperial-tradition","probable","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","associated_with","actor-rome-papal-curia-context","derived","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","has_reference","ref-ms-hre-xvii-a-digital","certain","HRE XI-XXVIIA pilot"
"ms-hre-xvii-a","has_reference","ref-ms-hre-xvii-a-iiif","certain","HRE XI-XXVIIA pilot"
