"subject","predicate","object","certainty","source"
"ms-ocf-i-a","witnesses","OCF-I","certain","OCF-I witness list"
"ms-ocf-i-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-i-a","currently_held_by","actor-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-i-a-origin-abbey-of-gellone-saint-guilhem-le-desert","occurred_at","place-abbey-of-gellone-saint-guilhem-le-desert","probable","origin field"
"ms-ocf-i-a","has_origin_or_copying_place","place-abbey-of-gellone-saint-guilhem-le-desert","probable","origin field"
"ms-ocf-i-a","associated_with","actor-abbey-gellone","probable","origin field"
"ms-ocf-i-b","witnesses","OCF-I","certain","OCF-I witness list"
"ms-ocf-i-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-i-b","currently_held_by","actor-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-i-b-origin-paris","occurred_at","place-paris","probable","origin field"
"ms-ocf-i-b","has_origin_or_copying_place","place-paris","probable","origin field"
"ms-ocf-i-b","copied_by","actor-luc-d-achery","probable","witness note"
"ms-ocf-i-a","has_reference","ref-gallica-ms-lat-12048-f339","certain","digital_url"
"ms-ocf-i-a","cited_by","ref-delisle-memoire","certain","bibliography"
"ms-ocf-i-a","cited_by","ref-deshusses-gellone","certain","bibliography"
"ms-ocf-i-a","studied_by","actor-leopold-delisle","certain","bibliography"
"ms-ocf-i-a","edited_by","actor-jean-deshusses","certain","bibliography"
"ms-ocf-i-b","copied_from","ms-ocf-i-a","probable","witness note"
"OCF-I","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-I","preserved_in","ms-ocf-i-a","certain","OCF-I witness list"
"OCF-I","preserved_in","ms-ocf-i-b","certain","OCF-I witness list"
"OCF-I","associated_with","actor-abbey-gellone","probable","origin field"
