"id","label","openatlasClass","systemClass","type","role","placeId","description"
"actor-abbey-chelles","Abbey of Chelles","E74 Group","actor","institution","scriptorium / origin context","place-chelles",""
"actor-abbey-gellone","Abbey of Gellone","E74 Group","actor","institution","monastic scriptorium / origin context","place-abbey-of-gellone-saint-guilhem-le-desert",""
"actor-angouleme-church","Angoulême ecclesiastical milieu","E74 Group","actor","institution","liturgical/sacramentary context","place-angouleme",""
"actor-autun-church","Autun ecclesiastical milieu","E74 Group","actor","institution","liturgical/sacramentary context","place-autun",""
"actor-bav","Biblioteca Apostolica Vaticana","E74 Group","actor","institution","repository institution / digital provider","repo-vatican-city-bav",""
"actor-bnf","Bibliothèque nationale de France (BnF)","E74 Group","actor","institution","repository institution / digital provider","repo-paris-bnf",""
"actor-leo-cunibert-mohlberg","Leo Cunibert Mohlberg","E21 Person","actor","editor","modern editor / bibliographic authority","",""
"actor-leopold-delisle","Léopold Delisle","E21 Person","actor","editor","scholar / bibliographic authority","place-paris",""
"actor-odilo-heiming","Odilo Heiming","E21 Person","actor","editor","modern editor","",""
"actor-patrick-saint-roch","Patrick Saint-Roch","E21 Person","actor","editor","modern editor","",""
"actor-stabi-berlin","Staatsbibliothek zu Berlin","E74 Group","actor","institution","repository institution / digital provider","repo-berlin-deutsche-staatsbibl",""
