"subject","predicate","object","certainty","source"
"ms-ocf-ii-a","witnesses","OCF-II","certain","OCF-II witness list"
"ms-ocf-ii-a","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-ii-a-origin-chelles","occurred_at","place-chelles","possible","origin field"
"ms-ocf-ii-a","has_origin_or_context_place","place-chelles","possible","origin field"
"ms-ocf-ii-b","witnesses","OCF-II","certain","OCF-II witness list"
"ms-ocf-ii-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-ii-b-origin-abbey-of-gellone-saint-guilhem-le-desert","occurred_at","place-abbey-of-gellone-saint-guilhem-le-desert","probable","origin field"
"ms-ocf-ii-b","has_origin_or_context_place","place-abbey-of-gellone-saint-guilhem-le-desert","probable","origin field"
"ms-ocf-ii-c","witnesses","OCF-II","certain","OCF-II witness list"
"ms-ocf-ii-c","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-ii-c-origin-angouleme","occurred_at","place-angouleme","probable","origin field"
"ms-ocf-ii-c","has_origin_or_context_place","place-angouleme","probable","origin field"
"ms-ocf-ii-d","witnesses","OCF-II","certain","OCF-II witness list"
"ms-ocf-ii-d","currently_kept_at","repo-berlin-deutsche-staatsbibl","certain","shelfmark/repository metadata"
"event-ms-ocf-ii-d-origin-autun","occurred_at","place-autun","probable","origin field"
"ms-ocf-ii-d","has_origin_or_context_place","place-autun","probable","origin field"
"ms-ocf-ii-e","witnesses","OCF-II","certain","OCF-II witness list"
"ms-ocf-ii-e","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-ii-a","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-ii-a","associated_with","actor-abbey-chelles","probable","entity enrichment"
"ms-ocf-ii-a","edited_or_studied_by","actor-leo-cunibert-mohlberg","probable","entity enrichment"
"ms-ocf-ii-a","has_reference","ref-ms-ocf-ii-a-digital","certain","digital_facsimile"
"ms-ocf-ii-a","cited_by","ref-ms-ocf-ii-a-bib-1","certain","edition"
"ms-ocf-ii-b","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-ii-b","associated_with","actor-abbey-gellone","probable","entity enrichment"
"ms-ocf-ii-b","has_reference","ref-ms-ocf-ii-b-digital","certain","digital_facsimile"
"ms-ocf-ii-c","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-ii-c","associated_with","actor-angouleme-church","probable","entity enrichment"
"ms-ocf-ii-c","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-ii-c","edited_or_studied_by","actor-patrick-saint-roch","probable","entity enrichment"
"ms-ocf-ii-c","has_reference","ref-ms-ocf-ii-c-digital","certain","digital_facsimile"
"ms-ocf-ii-c","cited_by","ref-ms-ocf-ii-c-bib-1","certain","bibliography"
"ms-ocf-ii-c","cited_by","ref-ms-ocf-ii-c-bib-2","certain","edition"
"ms-ocf-ii-d","associated_with","actor-stabi-berlin","probable","entity enrichment"
"ms-ocf-ii-d","associated_with","actor-autun-church","probable","entity enrichment"
"ms-ocf-ii-d","edited_or_studied_by","actor-odilo-heiming","probable","entity enrichment"
"ms-ocf-ii-d","has_reference","ref-ms-ocf-ii-d-digital","certain","digital_facsimile"
"ms-ocf-ii-d","cited_by","ref-ms-ocf-ii-d-bib-1","certain","edition"
"ms-ocf-ii-e","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-ii-e","associated_with","actor-angouleme-church","probable","entity enrichment"
"OCF-II","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-II","preserved_in","ms-ocf-ii-a","certain","OCF-II witness list"
"OCF-II","preserved_in","ms-ocf-ii-b","certain","OCF-II witness list"
"OCF-II","preserved_in","ms-ocf-ii-c","certain","OCF-II witness list"
"OCF-II","preserved_in","ms-ocf-ii-d","certain","OCF-II witness list"
"OCF-II","preserved_in","ms-ocf-ii-e","certain","OCF-II witness list"
