"subject","predicate","object","certainty","source"
"ms-ocf-iii-a","witnesses","OCF-III","certain","OCF-III witness list"
"ms-ocf-iii-a","currently_kept_at","repo-munich-bayerische-staatsbibl","certain","shelfmark/repository metadata"
"event-ms-ocf-iii-a-origin-sankt-emmeram-regensburg","occurred_at","place-sankt-emmeram-regensburg","probable","origin field"
"ms-ocf-iii-a","has_origin_or_context_place","place-sankt-emmeram-regensburg","probable","origin field"
"ms-ocf-iii-a","associated_with","actor-bsb","probable","entity enrichment"
"ms-ocf-iii-a","associated_with","actor-sankt-emmeram","probable","entity enrichment"
"ms-ocf-iii-a","edited_or_studied_by","actor-michel-andrieu","probable","entity enrichment"
"ms-ocf-iii-a","has_reference","ref-ms-ocf-iii-a-digital","certain","digital_facsimile"
"ms-ocf-iii-a","cited_by","ref-ms-ocf-iii-a-bib-1","certain","bibliography"
"OCF-III","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-III","preserved_in","ms-ocf-iii-a","certain","OCF-III witness list"
