"subject","predicate","object","certainty","source"
"ms-ocf-iv-a","witnesses","OCF-IV","certain","OCF-IV witness list"
"ms-ocf-iv-a","currently_kept_at","repo-munich-bayerische-staatsbibl","certain","shelfmark/repository metadata"
"event-ms-ocf-iv-a-origin-freising","occurred_at","place-freising","probable","origin field"
"ms-ocf-iv-a","has_origin_or_context_place","place-freising","probable","origin field"
"ms-ocf-iv-a","associated_with","actor-bsb","probable","entity enrichment"
"ms-ocf-iv-a","associated_with","actor-freising-church","probable","entity enrichment"
"ms-ocf-iv-a","has_reference","ref-ms-ocf-iv-a-digital","certain","digital_facsimile"
"ms-ocf-iv-a","cited_by","ref-ms-ocf-iv-a-bib-1","certain","edition"
"OCF-IV","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-IV","preserved_in","ms-ocf-iv-a","certain","OCF-IV witness list"
