"subject","predicate","object","certainty","source"
"ms-ocf-ix-a","witnesses","OCF-IX","certain","OCF-IX witness list"
"ms-ocf-ix-a","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-ix-a-origin-saint-thierry-near-reims","occurred_at","place-saint-thierry-near-reims","probable","origin field"
"ms-ocf-ix-a","has_origin_or_context_place","place-saint-thierry-near-reims","probable","origin field"
"ms-ocf-ix-a","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-ix-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-ix-a","associated_with","actor-saint-thierry","probable","entity enrichment"
"ms-ocf-ix-a","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-ix-a","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-ix-a","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-ix-a","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-ix-a","has_reference","ref-ms-ocf-ix-a-digital","certain","digital_facsimile"
"ms-ocf-ix-a","has_reference","ref-ms-ocf-ix-a-iiif","certain","iiif_manifest"
"ms-ocf-ix-a","cited_by","ref-ms-ocf-ix-a-bib-1","certain","bibliography"
"ms-ocf-ix-a","cited_by","ref-ms-ocf-ix-a-bib-2","certain","edition_or_catalogue"
"OCF-IX","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-IX","preserved_in","ms-ocf-ix-a","certain","OCF-IX witness list"
