"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-vii-lost-ms-1-current-repository","Lost MS 1 kept at Liege, monastery of Saint-Laurent [LOST]","E7 Activity","activity","lost_witness_reported_location","ms-ocf-vii-lost-ms-1","repo-liege-monastery-of-saint-laurent-lost","","","Liege, monastery of Saint-Laurent [LOST] is currently kept at Liege, monastery of Saint-Laurent [LOST].","certain"
"event-ms-ocf-vii-lost-ms-2-current-repository","Lost MS 2 kept at Beauvais, library of the cathedral chapter [LOST]","E7 Activity","activity","lost_witness_reported_location","ms-ocf-vii-lost-ms-2","repo-beauvais-library-of-the-cathedral-chapter-lost","","","Beauvais, library of the cathedral chapter [LOST] is currently kept at Beauvais, library of the cathedral chapter [LOST].","certain"
"event-ms-ocf-vii-lost-ms-3-current-repository","Lost MS 3 kept at Modena, Biblioteca Capitolare","E7 Activity","activity","lost_witness_reported_location","ms-ocf-vii-lost-ms-3","repo-modena-biblioteca-capitolare","","","Modena, Biblioteca Capitolare, MS 11,2 [LOST] is currently kept at Modena, Biblioteca Capitolare.","certain"
"event-ms-ocf-vii-lost-ms-4-current-repository","Lost MS 4 kept at Location unknown (""Muret"" manuscript) [LOST]","E7 Activity","activity","lost_witness_reported_location","ms-ocf-vii-lost-ms-4","repo-location-unknown-muret-manuscript-lost","","","Location unknown (""Muret"" manuscript) [LOST] is currently kept at Location unknown (""Muret"" manuscript) [LOST].","certain"
"event-ms-ocf-vii-lost-ms-5-current-repository","Lost MS 5 kept at Tarragona (?) manuscript of Antonio Agustin [LOST]","E7 Activity","activity","lost_witness_reported_location","ms-ocf-vii-lost-ms-5","repo-tarragona-manuscript-of-antonio-agustin-lost","","","Tarragona (?) manuscript of Antonio Agustin [LOST] is currently kept at Tarragona (?) manuscript of Antonio Agustin [LOST].","certain"
"event-ms-ocf-vii-a-current-repository","A kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-vii-a","repo-vatican-city-bav","","","Vatican City, BAV, MS Reg. lat. 291 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-vii-a-origin-italian-capitulary-tradition","A origin/context: Italian capitulary tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-a","place-italian-capitulary-tradition","First half of 16th century","First half of 16th century","Vatican City, BAV, MS Reg. lat. 291: origin/context recorded as ""Capitulary tradition (Italian branch)"".","possible"
"event-ms-ocf-vii-b-current-repository","B kept at Rome, Biblioteca Vallicelliana","E7 Activity","activity","current_repository","ms-ocf-vii-b","repo-rome-biblioteca-vallicelliana","","","Rome, Biblioteca Vallicelliana, MS C 16 is currently kept at Rome, Biblioteca Vallicelliana.","certain"
"event-ms-ocf-vii-b-origin-italian-capitulary-tradition","B origin/context: Italian capitulary tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-b","place-italian-capitulary-tradition","16th century (third quarter)","16th century (third quarter)","Rome, Biblioteca Vallicelliana, MS C 16: origin/context recorded as ""Capitulary tradition (Italian branch)"".","possible"
"event-ms-ocf-vii-c-current-repository","C kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-vii-c","repo-vatican-city-bav","","","Vatican City, BAV, MS Vat. lat. 4982 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-vii-c-origin-modena","C origin/context: Modena","E12 Production","production","copying_or_origin","ms-ocf-vii-c","place-modena","17th century","17th century","Vatican City, BAV, MS Vat. lat. 4982: origin/context recorded as ""Copied from Modena tradition (lost MS 3)"".","probable"
"event-ms-ocf-vii-d-current-repository","D kept at Saint-Omer, Bibliotheque d'agglomeration","E7 Activity","activity","current_repository","ms-ocf-vii-d","repo-saint-omer-bibliotheque-d-agglomeration","","","Saint-Omer, Bibliotheque d'agglomeration, MS 706 is currently kept at Saint-Omer, Bibliotheque d'agglomeration.","certain"
"event-ms-ocf-vii-d-origin-annales-bertiniani-tradition","D origin/context: Annales Bertiniani tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-d","place-annales-bertiniani-tradition","ca. 1000","ca. 1000","Saint-Omer, Bibliotheque d'agglomeration, MS 706: origin/context recorded as ""Annales Bertiniani tradition"".","possible"
"event-ms-ocf-vii-e-current-repository","E kept at Brussels, Bibliotheque royale","E7 Activity","activity","current_repository","ms-ocf-vii-e","repo-brussels-bibliotheque-royale","","","Brussels, Bibliotheque royale, MS 6439-6451 is currently kept at Brussels, Bibliotheque royale.","certain"
"event-ms-ocf-vii-e-origin-annales-bertiniani-tradition","E origin/context: Annales Bertiniani tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-e","place-annales-bertiniani-tradition","11th century","11th century","Brussels, Bibliotheque royale, MS 6439-6451: origin/context recorded as ""Annales Bertiniani tradition"".","possible"
"event-ms-ocf-vii-f-current-repository","F kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-vii-f","repo-paris-bnf","","","Paris, BnF, MS lat. 12711 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-vii-f-origin-continuation-of-aimoin-tradition","F origin/context: Continuation of Aimoin tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-f","place-continuation-of-aimoin-tradition","End of 11th century","End of 11th century","Paris, BnF, MS lat. 12711: origin/context recorded as ""Continuation of Aimoin tradition"".","possible"
"event-ms-ocf-vii-g-current-repository","G kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-vii-g","repo-paris-bnf","","","Paris, BnF, MS lat. 12710 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-vii-g-origin-continuation-of-aimoin-tradition","G origin/context: Continuation of Aimoin tradition","E12 Production","production","copying_or_origin","ms-ocf-vii-g","place-continuation-of-aimoin-tradition","13th century","13th century","Paris, BnF, MS lat. 12710: origin/context recorded as ""Continuation of Aimoin tradition"".","possible"
