"id","label","openatlasClass","systemClass","type","lat","lon","certainty","note"
"place-annales-bertiniani-tradition","Annales Bertiniani tradition","E53 Place","place","textual_tradition_context","49.258","4.031","possible","Origin/context place parsed from ""Annales Bertiniani tradition""."
"repo-beauvais-library-of-the-cathedral-chapter-lost","Beauvais, library of the cathedral chapter [LOST]","E53 Place","place","repository_place","49.431","2.08","last_known_or_reported","Lost witness location inferred from shelfmark/last known context: Beauvais, library of the cathedral chapter [LOST]"
"repo-brussels-bibliotheque-royale","Brussels, Bibliotheque royale","E53 Place","place","repository_place","50.8427","4.361","certain","Current repository inferred from shelfmark: Brussels, Bibliotheque royale, MS 6439-6451"
"place-continuation-of-aimoin-tradition","Continuation of Aimoin tradition","E53 Place","place","textual_tradition_context","48.8566","2.3522","possible","Origin/context place parsed from ""Continuation of Aimoin tradition""."
"place-italian-capitulary-tradition","Italian capitulary tradition","E53 Place","place","textual_tradition_context","41.9022","12.4539","possible","Origin/context place parsed from ""Capitulary tradition (Italian branch)""."
"repo-liege-monastery-of-saint-laurent-lost","Liege, monastery of Saint-Laurent [LOST]","E53 Place","place","repository_place","50.633","5.567","last_known_or_reported","Lost witness location inferred from shelfmark/last known context: Liege, monastery of Saint-Laurent [LOST]"
"repo-location-unknown-muret-manuscript-lost","Location unknown (""Muret"" manuscript) [LOST]","E53 Place","place","repository_place","","","last_known_or_reported","Lost witness location inferred from shelfmark/last known context: Location unknown (""Muret"" manuscript) [LOST]"
"place-modena","Modena","E53 Place","place","lost_witness_context","44.647","10.925","probable","Origin/context place parsed from ""Copied from Modena tradition (lost MS 3)""."
"repo-modena-biblioteca-capitolare","Modena, Biblioteca Capitolare","E53 Place","place","repository_place","44.647","10.925","last_known_or_reported","Lost witness location inferred from shelfmark/last known context: Modena, Biblioteca Capitolare, MS 11,2 [LOST]"
"repo-paris-bnf","Paris, BnF","E53 Place","place","repository_place","48.8339","2.3757","certain","Current repository inferred from shelfmark: Paris, BnF, MS lat. 12710"
"repo-rome-biblioteca-vallicelliana","Rome, Biblioteca Vallicelliana","E53 Place","place","repository_place","41.899","12.468","certain","Current repository inferred from shelfmark: Rome, Biblioteca Vallicelliana, MS C 16"
"repo-saint-omer-bibliotheque-d-agglomeration","Saint-Omer, Bibliotheque d'agglomeration","E53 Place","place","repository_place","50.75","2.253","certain","Current repository inferred from shelfmark: Saint-Omer, Bibliotheque d'agglomeration, MS 706"
"repo-tarragona-manuscript-of-antonio-agustin-lost","Tarragona (?) manuscript of Antonio Agustin [LOST]","E53 Place","place","repository_place","41.118","1.245","last_known_or_reported","Lost witness location inferred from shelfmark/last known context: Tarragona (?) manuscript of Antonio Agustin [LOST]"
"repo-vatican-city-bav","Vatican City, BAV","E53 Place","place","repository_place","41.9022","12.4539","certain","Current repository inferred from shelfmark: Vatican City, BAV, MS Vat. lat. 4982"
