"subject","predicate","object","certainty","source"
"ms-ocf-vii-lost-ms-1","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-lost-ms-1","currently_kept_at","repo-liege-monastery-of-saint-laurent-lost","certain","shelfmark/repository metadata"
"ms-ocf-vii-lost-ms-2","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-lost-ms-2","currently_kept_at","repo-beauvais-library-of-the-cathedral-chapter-lost","certain","shelfmark/repository metadata"
"ms-ocf-vii-lost-ms-3","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-lost-ms-3","currently_kept_at","repo-modena-biblioteca-capitolare","certain","shelfmark/repository metadata"
"ms-ocf-vii-lost-ms-4","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-lost-ms-4","currently_kept_at","repo-location-unknown-muret-manuscript-lost","certain","shelfmark/repository metadata"
"ms-ocf-vii-lost-ms-5","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-lost-ms-5","currently_kept_at","repo-tarragona-manuscript-of-antonio-agustin-lost","certain","shelfmark/repository metadata"
"ms-ocf-vii-a","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-a","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-a-origin-italian-capitulary-tradition","occurred_at","place-italian-capitulary-tradition","possible","origin field"
"ms-ocf-vii-a","has_origin_or_context_place","place-italian-capitulary-tradition","possible","origin field"
"ms-ocf-vii-b","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-b","currently_kept_at","repo-rome-biblioteca-vallicelliana","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-b-origin-italian-capitulary-tradition","occurred_at","place-italian-capitulary-tradition","possible","origin field"
"ms-ocf-vii-b","has_origin_or_context_place","place-italian-capitulary-tradition","possible","origin field"
"ms-ocf-vii-c","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-c","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-c-origin-modena","occurred_at","place-modena","probable","origin field"
"ms-ocf-vii-c","has_origin_or_context_place","place-modena","probable","origin field"
"ms-ocf-vii-d","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-d","currently_kept_at","repo-saint-omer-bibliotheque-d-agglomeration","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-d-origin-annales-bertiniani-tradition","occurred_at","place-annales-bertiniani-tradition","possible","origin field"
"ms-ocf-vii-d","has_origin_or_context_place","place-annales-bertiniani-tradition","possible","origin field"
"ms-ocf-vii-e","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-e","currently_kept_at","repo-brussels-bibliotheque-royale","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-e-origin-annales-bertiniani-tradition","occurred_at","place-annales-bertiniani-tradition","possible","origin field"
"ms-ocf-vii-e","has_origin_or_context_place","place-annales-bertiniani-tradition","possible","origin field"
"ms-ocf-vii-f","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-f","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-f-origin-continuation-of-aimoin-tradition","occurred_at","place-continuation-of-aimoin-tradition","possible","origin field"
"ms-ocf-vii-f","has_origin_or_context_place","place-continuation-of-aimoin-tradition","possible","origin field"
"ms-ocf-vii-g","witnesses","OCF-VII","certain","OCF-VII witness list"
"ms-ocf-vii-g","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-vii-g-origin-continuation-of-aimoin-tradition","occurred_at","place-continuation-of-aimoin-tradition","possible","origin field"
"ms-ocf-vii-g","has_origin_or_context_place","place-continuation-of-aimoin-tradition","possible","origin field"
"ms-ocf-vii-lost-ms-1","associated_with","actor-saint-laurent-liege","probable","entity enrichment"
"ms-ocf-vii-lost-ms-1","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-lost-ms-1","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-lost-ms-2","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-lost-ms-2","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-lost-ms-3","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-lost-ms-3","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-lost-ms-4","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-lost-ms-4","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-lost-ms-5","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-lost-ms-5","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-a","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-vii-a","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-a","has_reference","ref-ms-ocf-vii-a-digital","certain","digital_facsimile"
"ms-ocf-vii-a","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-b","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-b","has_reference","ref-ms-ocf-vii-b-digital","certain","digital_facsimile"
"ms-ocf-vii-b","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-c","associated_with","actor-bav","probable","entity enrichment"
"ms-ocf-vii-c","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-c","has_reference","ref-ms-ocf-vii-c-digital","certain","digital_facsimile"
"ms-ocf-vii-c","cited_by","ref-sirmond-1623","certain","edition"
"ms-ocf-vii-d","edited_or_studied_by","actor-jacques-sirmond","probable","entity enrichment"
"ms-ocf-vii-d","has_reference","ref-ms-ocf-vii-d-digital","certain","digital_facsimile"
