"subject","predicate","object","certainty","source"
"ms-ocf-x-a","witnesses","OCF-X","certain","OCF-X witness list"
"ms-ocf-x-a","currently_kept_at","repo-barcelona-archivo-de-la-corona-de-aragon","certain","shelfmark/repository metadata"
"event-ms-ocf-x-a-origin-monastery-of-ripoll","occurred_at","place-monastery-of-ripoll","probable","origin field"
"ms-ocf-x-a","has_origin_or_context_place","place-monastery-of-ripoll","probable","origin field"
"ms-ocf-x-b","witnesses","OCF-X","certain","OCF-X witness list"
"ms-ocf-x-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-x-a","associated_with","actor-ripoll","probable","entity enrichment"
"ms-ocf-x-a","has_reference","ref-ms-ocf-x-a-digital","certain","digital_facsimile"
"ms-ocf-x-b","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-x-b","associated_with","actor-ripoll","probable","entity enrichment"
"ms-ocf-x-b","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-x-b","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-x-b","has_reference","ref-ms-ocf-x-b-digital","certain","digital_facsimile"
"ms-ocf-x-b","has_reference","ref-ms-ocf-x-b-iiif","certain","iiif_manifest"
"OCF-X","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-X","preserved_in","ms-ocf-x-a","certain","OCF-X witness list"
"OCF-X","preserved_in","ms-ocf-x-b","certain","OCF-X witness list"
