"subject","predicate","object","certainty","source"
"ms-ocf-xi-a","witnesses","OCF-XI","certain","OCF-XI witness list"
"ms-ocf-xi-a","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xi-a-origin-tours","occurred_at","place-tours","probable","origin field"
"ms-ocf-xi-a","has_origin_or_context_place","place-tours","probable","origin field"
"ms-ocf-xi-b","witnesses","OCF-XI","certain","OCF-XI witness list"
"ms-ocf-xi-b","currently_kept_at","repo-barcelona-archivo-de-la-corona-de-aragon","certain","shelfmark/repository metadata"
"event-ms-ocf-xi-b-origin-monastery-of-ripoll","occurred_at","place-monastery-of-ripoll","probable","origin field"
"ms-ocf-xi-b","has_origin_or_context_place","place-monastery-of-ripoll","probable","origin field"
"ms-ocf-xi-c","witnesses","OCF-XI","certain","OCF-XI witness list"
"ms-ocf-xi-c","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"ms-ocf-xi-d","witnesses","OCF-XI","certain","OCF-XI witness list"
"ms-ocf-xi-d","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
