"subject","predicate","object","certainty","source"
"ms-ocf-xii-a","witnesses","OCF-XII","certain","OCF-XII witness list"
"ms-ocf-xii-a","currently_kept_at","repo-angers-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xii-a-origin-tours","occurred_at","place-tours","probable","origin field"
"ms-ocf-xii-a","has_origin_or_context_place","place-tours","probable","origin field"
"event-ms-ocf-xii-a-origin-poitiers","occurred_at","place-poitiers","possible","origin field"
"ms-ocf-xii-a","has_origin_or_context_place","place-poitiers","possible","origin field"
"ms-ocf-xii-b","witnesses","OCF-XII","certain","OCF-XII witness list"
"ms-ocf-xii-b","currently_kept_at","repo-paris-bnf","certain","shelfmark/repository metadata"
"event-ms-ocf-xii-b-origin-tours","occurred_at","place-tours","probable","origin field"
"ms-ocf-xii-b","has_origin_or_context_place","place-tours","probable","origin field"
