"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xiv-a-current-repository","A kept at Leiden, Rijksuniversiteit Bibl.","E7 Activity","activity","current_repository","ms-ocf-xiv-a","repo-leiden-rijksuniversiteit-bibl","","","Leiden, Rijksuniversiteit Bibl., MS Vossianus lat. Q. 13 is currently kept at Leiden, Rijksuniversiteit Bibl..","certain"
"event-ms-ocf-xiv-a-origin-sens","A origin/context: Sens","E12 Production","production","copying_or_origin","ms-ocf-xiv-a","place-sens","ca. 1000","ca. 1000","Leiden, Rijksuniversiteit Bibl., MS Vossianus lat. Q. 13: origin/context recorded as ""Province of Sens?"".","probable"
"event-ms-ocf-xiv-b-current-repository","B kept at Milan, Biblioteca del Capitolo Metropolitano","E7 Activity","activity","current_repository","ms-ocf-xiv-b","repo-milan-biblioteca-del-capitolo-metropolitano","","","Milan, Biblioteca del Capitolo Metropolitano, MS D 1-11 is currently kept at Milan, Biblioteca del Capitolo Metropolitano.","certain"
"event-ms-ocf-xiv-b-origin-milan","B origin/context: Milan","E12 Production","production","copying_or_origin","ms-ocf-xiv-b","place-milan","11th century","11th century","Milan, Biblioteca del Capitolo Metropolitano, MS D 1-11: origin/context recorded as ""Milan"".","probable"
"event-ms-ocf-xiv-c-current-repository","C kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xiv-c","repo-vatican-city-bav","","","Vatican City, BAV, MS lat. 13151 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-xiv-c-origin-milan","C origin/context: Milan","E12 Production","production","copying_or_origin","ms-ocf-xiv-c","place-milan","11th century","11th century","Vatican City, BAV, MS lat. 13151: origin/context recorded as ""Milan"".","probable"
"event-ms-ocf-xiv-d-current-repository","D kept at Vatican City, BAV","E7 Activity","activity","current_repository","ms-ocf-xiv-d","repo-vatican-city-bav","","","Vatican City, BAV, MS Barb. lat. 631 is currently kept at Vatican City, BAV.","certain"
"event-ms-ocf-xiv-d-origin-monte-cassino","D origin/context: Monte Cassino","E12 Production","production","copying_or_origin","ms-ocf-xiv-d","place-monte-cassino","Second half of 11th century","Second half of 11th century","Vatican City, BAV, MS Barb. lat. 631: origin/context recorded as ""Monte Cassino"".","probable"
"event-ms-ocf-xiv-e-current-repository","E kept at Brussels, Bibl. roy. Albert Ier","E7 Activity","activity","current_repository","ms-ocf-xiv-e","repo-brussels-bibl-roy-albert-ier","","","Brussels, Bibl. roy. Albert Ier, MS 2067-73 is currently kept at Brussels, Bibl. roy. Albert Ier.","certain"
"event-ms-ocf-xiv-f-current-repository","F kept at Lisbon, Bibl. Nac.","E7 Activity","activity","current_repository","ms-ocf-xiv-f","repo-lisbon-bibl-nac","","","Lisbon, Bibl. Nac., MS Alcobacen 162 is currently kept at Lisbon, Bibl. Nac..","certain"
"event-ms-ocf-xiv-f-origin-braga","F origin/context: Braga","E12 Production","production","copying_or_origin","ms-ocf-xiv-f","place-braga","13th century","13th century","Lisbon, Bibl. Nac., MS Alcobacen 162: origin/context recorded as ""Archbishopric of Braga"".","probable"
