"subject","predicate","object","certainty","source"
"ms-ocf-xiv-a","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-a","currently_kept_at","repo-leiden-rijksuniversiteit-bibl","certain","shelfmark/repository metadata"
"event-ms-ocf-xiv-a-origin-sens","occurred_at","place-sens","probable","origin field"
"ms-ocf-xiv-a","has_origin_or_context_place","place-sens","probable","origin field"
"ms-ocf-xiv-b","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-b","currently_kept_at","repo-milan-biblioteca-del-capitolo-metropolitano","certain","shelfmark/repository metadata"
"event-ms-ocf-xiv-b-origin-milan","occurred_at","place-milan","probable","origin field"
"ms-ocf-xiv-b","has_origin_or_context_place","place-milan","probable","origin field"
"ms-ocf-xiv-c","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-c","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-xiv-c-origin-milan","occurred_at","place-milan","probable","origin field"
"ms-ocf-xiv-c","has_origin_or_context_place","place-milan","probable","origin field"
"ms-ocf-xiv-d","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-d","currently_kept_at","repo-vatican-city-bav","certain","shelfmark/repository metadata"
"event-ms-ocf-xiv-d-origin-monte-cassino","occurred_at","place-monte-cassino","probable","origin field"
"ms-ocf-xiv-d","has_origin_or_context_place","place-monte-cassino","probable","origin field"
"ms-ocf-xiv-e","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-e","currently_kept_at","repo-brussels-bibl-roy-albert-ier","certain","shelfmark/repository metadata"
"ms-ocf-xiv-f","witnesses","OCF-XIV","certain","OCF-XIV witness list"
"ms-ocf-xiv-f","currently_kept_at","repo-lisbon-bibl-nac","certain","shelfmark/repository metadata"
"event-ms-ocf-xiv-f-origin-braga","occurred_at","place-braga","probable","origin field"
"ms-ocf-xiv-f","has_origin_or_context_place","place-braga","probable","origin field"
