"subject","predicate","object","certainty","source"
"ms-ocf-xix-a","witnesses","OCF-XIX","certain","OCF-XIX witness list"
"ms-ocf-xix-a","currently_kept_at","repo-reims-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xix-a-origin-reims","occurred_at","place-reims","probable","origin field"
"ms-ocf-xix-a","has_origin_or_context_place","place-reims","probable","origin field"
"ms-ocf-xix-b","witnesses","OCF-XIX","certain","OCF-XIX witness list"
"ms-ocf-xix-b","currently_kept_at","repo-besanc-on-bibl-mun","certain","shelfmark/repository metadata"
"event-ms-ocf-xix-b-origin-beauvais","occurred_at","place-beauvais","probable","origin field"
"ms-ocf-xix-b","has_origin_or_context_place","place-beauvais","probable","origin field"
"ms-ocf-xix-a","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xix-a","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xix-a","cited_by","ref-ms-ocf-xix-a-bib-1","certain","edition_or_catalogue"
"ms-ocf-xix-b","associated_with","actor-beauvais-church","probable","entity enrichment"
"ms-ocf-xix-b","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xix-b","cited_by","ref-ms-ocf-xix-b-bib-1","certain","edition_or_catalogue"
"OCF-XIX","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XIX","preserved_in","ms-ocf-xix-a","certain","OCF-XIX witness list"
"OCF-XIX","preserved_in","ms-ocf-xix-b","certain","OCF-XIX witness list"
