"id","label","openatlasClass","systemClass","type","manuscriptId","placeId","start","end","description","certainty"
"event-ms-ocf-xv-a-current-repository","A kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-a","repo-paris-bnf","","","Paris, BnF, MS lat. 12052 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-a-origin-corbie","A origin/context: Corbie","E12 Production","production","copying_or_origin","ms-ocf-xv-a","place-corbie","ca. 980","ca. 980","Paris, BnF, MS lat. 12052: origin/context recorded as ""Corbie"".","probable"
"event-ms-ocf-xv-b-current-repository","B kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-b","repo-paris-bnf","","","Paris, BnF, MS lat. 13313 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-b-origin-cambrai","B origin/context: Cambrai","E12 Production","production","copying_or_origin","ms-ocf-xv-b","place-cambrai","11th century","11th century","Paris, BnF, MS lat. 13313: origin/context recorded as ""Trier, adapted for Cambrai"".","probable"
"event-ms-ocf-xv-b-origin-trier","B origin/context: Trier","E12 Production","production","copying_or_origin","ms-ocf-xv-b","place-trier","11th century","11th century","Paris, BnF, MS lat. 13313: origin/context recorded as ""Trier, adapted for Cambrai"".","probable"
"event-ms-ocf-xv-c-current-repository","C kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-c","repo-paris-bnf","","","Paris, BnF, MS lat. 14192 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-d-current-repository","D kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-d","repo-paris-bnf","","","Paris, BnF, MS lat. 13315 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-d-origin-saint-germain-des-pres-paris","D origin/context: Saint-Germain-des-Pres, Paris","E12 Production","production","copying_or_origin","ms-ocf-xv-d","place-saint-germain-des-pres-paris","12th century","12th century","Paris, BnF, MS lat. 13315: origin/context recorded as ""Saint-Germain-des-Prés"".","probable"
"event-ms-ocf-xv-e-current-repository","E kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-e","repo-paris-bnf","","","Paris, BnF, MS lat. 945 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-e-origin-chartres","E origin/context: Chartres","E12 Production","production","copying_or_origin","ms-ocf-xv-e","place-chartres","Middle or second half of 12th century","Middle or second half of 12th century","Paris, BnF, MS lat. 945: origin/context recorded as ""Chartres"".","probable"
"event-ms-ocf-xv-f-current-repository","F kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-f","repo-paris-bnf","","","Paris, BnF, MS lat. 953 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-f-origin-tournai","F origin/context: Tournai","E12 Production","production","copying_or_origin","ms-ocf-xv-f","place-tournai","Middle or second half of 12th century","Middle or second half of 12th century","Paris, BnF, MS lat. 953: origin/context recorded as ""Saint-Amand, diocese of Tournai"".","possible"
"event-ms-ocf-xv-f-origin-saint-amand-les-eaux","F origin/context: Saint-Amand-les-Eaux","E12 Production","production","copying_or_origin","ms-ocf-xv-f","place-saint-amand-les-eaux","Middle or second half of 12th century","Middle or second half of 12th century","Paris, BnF, MS lat. 953: origin/context recorded as ""Saint-Amand, diocese of Tournai"".","probable"
"event-ms-ocf-xv-g-current-repository","G kept at Reims, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xv-g","repo-reims-bibl-mun","","","Reims, Bibl. mun., MS 342 is currently kept at Reims, Bibl. mun..","certain"
"event-ms-ocf-xv-g-origin-reims","G origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xv-g","place-reims","Second half or end of 12th century","Second half or end of 12th century","Reims, Bibl. mun., MS 342: origin/context recorded as ""Reims Cathedral"".","probable"
"event-ms-ocf-xv-h-current-repository","H kept at Sens, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xv-h","repo-sens-bibl-mun","","","Sens, Bibl. mun., MS 9 is currently kept at Sens, Bibl. mun..","certain"
"event-ms-ocf-xv-h-origin-sens","H origin/context: Sens","E12 Production","production","copying_or_origin","ms-ocf-xv-h","place-sens","End of 12th century","End of 12th century","Sens, Bibl. mun., MS 9: origin/context recorded as ""Sens"".","probable"
"event-ms-ocf-xv-i-current-repository","I kept at Troyes, Trésor de la Cathédrale","E7 Activity","activity","current_repository","ms-ocf-xv-i","repo-troyes-tre-sor-de-la-cathe-drale","","","Troyes, Trésor de la Cathédrale, MS 4 is currently kept at Troyes, Trésor de la Cathédrale.","certain"
"event-ms-ocf-xv-i-origin-abbey-of-saint-loup-troyes","I origin/context: Abbey of Saint-Loup, Troyes","E12 Production","production","copying_or_origin","ms-ocf-xv-i","place-abbey-of-saint-loup-troyes","End of 12th century","End of 12th century","Troyes, Trésor de la Cathédrale, MS 4: origin/context recorded as ""Saint-Loup"".","probable"
"event-ms-ocf-xv-j-current-repository","J kept at Siena, Bibl. Comunale degli Intronati","E7 Activity","activity","current_repository","ms-ocf-xv-j","repo-siena-bibl-comunale-degli-intronati","","","Siena, Bibl. Comunale degli Intronati, MS G.V. 12 is currently kept at Siena, Bibl. Comunale degli Intronati.","certain"
"event-ms-ocf-xv-j-origin-tyre","J origin/context: Tyre","E12 Production","production","copying_or_origin","ms-ocf-xv-j","place-tyre","Early 13th century (1203-1210)","Early 13th century (1203-1210)","Siena, Bibl. Comunale degli Intronati, MS G.V. 12: origin/context recorded as ""Tyre"".","probable"
"event-ms-ocf-xv-k-current-repository","K kept at Rouen, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xv-k","repo-rouen-bibl-mun","","","Rouen, Bibl. mun., MS 370 is currently kept at Rouen, Bibl. mun..","certain"
"event-ms-ocf-xv-k-origin-reims","K origin/context: Reims","E12 Production","production","copying_or_origin","ms-ocf-xv-k","place-reims","Early 13th century","Early 13th century","Rouen, Bibl. mun., MS 370: origin/context recorded as ""Reims"".","probable"
"event-ms-ocf-xv-l-current-repository","L kept at Orléans, Bibl. mun.","E7 Activity","activity","current_repository","ms-ocf-xv-l","repo-orle-ans-bibl-mun","","","Orléans, Bibl. mun., MS 144 is currently kept at Orléans, Bibl. mun..","certain"
"event-ms-ocf-xv-l-origin-chartres","L origin/context: Chartres","E12 Production","production","copying_or_origin","ms-ocf-xv-l","place-chartres","Early 13th century (before 1236)","Early 13th century (before 1236)","Orléans, Bibl. mun., MS 144: origin/context recorded as ""Chartres; in Orléans by 1256"".","probable"
"event-ms-ocf-xv-m-current-repository","M kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-m","repo-paris-bnf","","","Paris, BnF, MS lat. 1223 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-m-origin-metz","M origin/context: Metz","E12 Production","production","copying_or_origin","ms-ocf-xv-m","place-metz","13th century, perhaps first half","13th century, perhaps first half","Paris, BnF, MS lat. 1223: origin/context recorded as ""Metz"".","probable"
"event-ms-ocf-xv-n-current-repository","N kept at Brussels, Bibl. royale Albert Ier","E7 Activity","activity","current_repository","ms-ocf-xv-n","repo-brussels-bibl-royale-albert-ier","","","Brussels, Bibl. royale Albert Ier, MS II 1013 is currently kept at Brussels, Bibl. royale Albert Ier.","certain"
"event-ms-ocf-xv-n-origin-tournai","N origin/context: Tournai","E12 Production","production","copying_or_origin","ms-ocf-xv-n","place-tournai","13th century","13th century","Brussels, Bibl. royale Albert Ier, MS II 1013: origin/context recorded as ""Saint-Martin of Tournai"".","possible"
"event-ms-ocf-xv-n-origin-saint-martin-of-tournai","N origin/context: Saint-Martin of Tournai","E12 Production","production","copying_or_origin","ms-ocf-xv-n","place-saint-martin-of-tournai","13th century","13th century","Brussels, Bibl. royale Albert Ier, MS II 1013: origin/context recorded as ""Saint-Martin of Tournai"".","probable"
"event-ms-ocf-xv-o-current-repository","O kept at Brugge, Stedelijke Openbare Bibl.","E7 Activity","activity","current_repository","ms-ocf-xv-o","repo-brugge-stedelijke-openbare-bibl","","","Brugge, Stedelijke Openbare Bibl., MS 318 is currently kept at Brugge, Stedelijke Openbare Bibl..","certain"
"event-ms-ocf-xv-o-origin-ter-doest-abbey","O origin/context: Ter Doest Abbey","E12 Production","production","copying_or_origin","ms-ocf-xv-o","place-ter-doest-abbey","13th century","13th century","Brugge, Stedelijke Openbare Bibl., MS 318: origin/context recorded as ""Ter Doest"".","probable"
"event-ms-ocf-xv-p-current-repository","P kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-p","repo-paris-bnf","","","Paris, BnF, MS lat. 17335 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-p-origin-noyon","P origin/context: Noyon","E12 Production","production","copying_or_origin","ms-ocf-xv-p","place-noyon","Second half or end of 13th century","Second half or end of 13th century","Paris, BnF, MS lat. 17335: origin/context recorded as ""Noyon"".","probable"
"event-ms-ocf-xv-q-current-repository","Q kept at Wrocław, Bibl. Uniwersytecka","E7 Activity","activity","current_repository","ms-ocf-xv-q","repo-wroc-aw-bibl-uniwersytecka","","","Wrocław, Bibl. Uniwersytecka, MS I F 380 is currently kept at Wrocław, Bibl. Uniwersytecka.","certain"
"event-ms-ocf-xv-q-origin-prague","Q origin/context: Prague","E12 Production","production","copying_or_origin","ms-ocf-xv-q","place-prague","14th century","14th century","Wrocław, Bibl. Uniwersytecka, MS I F 380: origin/context recorded as ""Prague (or near)"".","possible"
"event-ms-ocf-xv-r-current-repository","R kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-r","repo-paris-bnf","","","Paris, BnF, MS Baluze 379 is currently kept at Paris, BnF.","certain"
"event-ms-ocf-xv-s-current-repository","S kept at Chantilly, Musée Condé","E7 Activity","activity","current_repository","ms-ocf-xv-s","repo-chantilly-muse-e-conde","","","Chantilly, Musée Condé, MS 1149 (no. 356) is currently kept at Chantilly, Musée Condé.","certain"
"event-ms-ocf-xv-t-current-repository","T kept at Paris, BnF","E7 Activity","activity","current_repository","ms-ocf-xv-t","repo-paris-bnf","","","Paris, BnF, MS lat. 11743 is currently kept at Paris, BnF.","certain"
