"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xv-a","A","A — Paris, BnF, MS lat. 12052","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 12052","fols. 21v-30r","ca. 980","Corbie","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b84274539","","Gallica / BnF","Sacramentary copied for Abbot Ratold. Oldest surviving ms. Base text of all editions.","Delisle, 'Mémoire,' 188–0; Leroquais, Sacramentaires, 1: 79–1, no. 79"
"ms-ocf-xv-b","B","B — Paris, BnF, MS lat. 13313","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 13313","fols. 188r-198v","11th century","Trier, adapted for Cambrai","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b90669992","","Gallica / BnF","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 175–9, no. 151"
"ms-ocf-xv-c","C","C — Paris, BnF, MS lat. 14192","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 14192","fols. 73r-81r, 82r-83r","12th century, second quarter","","repo-paris-bnf","Paris, BnF","","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+lat+14192","","BnF Catalogue (search)","Primary witness of the Ratold ordo in this codex at the listed folios.","Brown, Franks, Burgundians, and Aquitanians, 15–0"
"ms-ocf-xv-d","D","D — Paris, BnF, MS lat. 13315","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 13315","fols. 101r-110r","12th century","Saint-Germain-des-Prés","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b9068382b","","Gallica / BnF","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 180–4, no. 153"
"ms-ocf-xv-e","E","E — Paris, BnF, MS lat. 945","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 945","fols. 204r-215v","Middle or second half of 12th century","Chartres","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b10073460v","","Gallica / BnF","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 15–1, no. 95"
"ms-ocf-xv-f","F","F — Paris, BnF, MS lat. 953","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 953","fols. 107r-116r","Middle or second half of 12th century","Saint-Amand, diocese of Tournai","repo-paris-bnf","Paris, BnF","","https://usuarium.elte.hu/book/3115/view","","Usuarium (manuscript record)","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 41–6, no. 103"
"ms-ocf-xv-g","G","G — Reims, Bibl. mun., MS 342","E22 Human-Made Object","artifact","manuscript_witness","primary","Reims, Bibl. mun., MS 342","fols. 69v-80r","Second half or end of 12th century","Reims Cathedral","repo-reims-bibl-mun","Reims, Bibl. mun.","","https://iiif.biblissima.fr/collections/manifest/a2ad0ab6e218b57f2e17259f14cfe9d9e5c629c0","","Biblissima IIIF Collections","Key manuscript. Located in coronation cathedral. Source of MSS K, P, R, T. Marginal additions from English source, early 13th c. Possibly used at coronations of Philip Augustus (1179), Louis VIII (1223), or Louis IX (1226).","Leroquais, Pontificaux, 1: 279–1, no. 185"
"ms-ocf-xv-h","H","H — Sens, Bibl. mun., MS 9","E22 Human-Made Object","artifact","manuscript_witness","primary","Sens, Bibl. mun., MS 9","fols. 57r-63v","End of 12th century","Sens","repo-sens-bibl-mun","Sens, Bibl. mun.","","https://iiif.biblissima.fr/collections/manifest/ccc201f9f2fa2d7805a3e7692a98db61b7df62d8","","Biblissima IIIF Collections","Incomplete witness preserving part of the Ratold ordo.","Leroquais, Pontificaux, 1: 327–3, no. 199"
"ms-ocf-xv-i","I","I — Troyes, Trésor de la Cathédrale, MS 4","E22 Human-Made Object","artifact","manuscript_witness","primary","Troyes, Trésor de la Cathédrale, MS 4","fols. 129r-135r","End of 12th century","Saint-Loup","repo-troyes-tre-sor-de-la-cathe-drale","Troyes, Trésor de la Cathédrale","","https://iiif.biblissima.fr/collections/manifest/54329facc17fc3b405bc3429e6cd613d73ec0855","","Biblissima IIIF Collections","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 396–02, no. 223"
"ms-ocf-xv-j","J","J — Siena, Bibl. Comunale degli Intronati, MS G.V. 12","E22 Human-Made Object","artifact","manuscript_witness","primary","Siena, Bibl. Comunale degli Intronati, MS G.V. 12","fols. 65v-71v; Benedictio vexilli on fol. 108v","Early 13th century (1203-1210)","Tyre","repo-siena-bibl-comunale-degli-intronati","Siena, Bibl. Comunale degli Intronati","","https://iiif.biblissima.fr/collections/search?q=Siena+G.V+12","","Biblissima IIIF (search)","Pontifical of Tyre.","Mayer, 'Das Pontificale von Tyrus,' Dumbarton Oaks Papers 21 (1967): 213–0"
