"id","label","manuscriptId","fromPlaceId","toPlaceId","start","end","certainty","type"
"move-ms-ocf-xv-a-corbie-to-paris-bnf","A: Corbie → Paris, BnF","ms-ocf-xv-a","place-corbie","repo-paris-bnf","ca. 980","","probable","manuscript_dispersal"
"move-ms-ocf-xv-b-cambrai-to-paris-bnf","B: Cambrai → Paris, BnF","ms-ocf-xv-b","place-cambrai","repo-paris-bnf","11th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-b-trier-to-paris-bnf","B: Trier → Paris, BnF","ms-ocf-xv-b","place-trier","repo-paris-bnf","11th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-d-saint-germain-des-pres-paris-to-paris-bnf","D: Saint-Germain-des-Pres, Paris → Paris, BnF","ms-ocf-xv-d","place-saint-germain-des-pres-paris","repo-paris-bnf","12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-e-chartres-to-paris-bnf","E: Chartres → Paris, BnF","ms-ocf-xv-e","place-chartres","repo-paris-bnf","Middle or second half of 12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-f-tournai-to-paris-bnf","F: Tournai → Paris, BnF","ms-ocf-xv-f","place-tournai","repo-paris-bnf","Middle or second half of 12th century","","possible","manuscript_dispersal"
"move-ms-ocf-xv-f-saint-amand-les-eaux-to-paris-bnf","F: Saint-Amand-les-Eaux → Paris, BnF","ms-ocf-xv-f","place-saint-amand-les-eaux","repo-paris-bnf","Middle or second half of 12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-g-reims-to-reims-bibl-mun","G: Reims → Reims, Bibl. mun.","ms-ocf-xv-g","place-reims","repo-reims-bibl-mun","Second half or end of 12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-h-sens-to-sens-bibl-mun","H: Sens → Sens, Bibl. mun.","ms-ocf-xv-h","place-sens","repo-sens-bibl-mun","End of 12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-i-abbey-of-saint-loup-troyes-to-troyes-tre-sor-de-la-cathe-drale","I: Abbey of Saint-Loup, Troyes → Troyes, Trésor de la Cathédrale","ms-ocf-xv-i","place-abbey-of-saint-loup-troyes","repo-troyes-tre-sor-de-la-cathe-drale","End of 12th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-j-tyre-to-siena-bibl-comunale-degli-intronati","J: Tyre → Siena, Bibl. Comunale degli Intronati","ms-ocf-xv-j","place-tyre","repo-siena-bibl-comunale-degli-intronati","Early 13th century (1203-1210)","","probable","manuscript_dispersal"
"move-ms-ocf-xv-k-reims-to-rouen-bibl-mun","K: Reims → Rouen, Bibl. mun.","ms-ocf-xv-k","place-reims","repo-rouen-bibl-mun","Early 13th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-l-chartres-to-orle-ans-bibl-mun","L: Chartres → Orléans, Bibl. mun.","ms-ocf-xv-l","place-chartres","repo-orle-ans-bibl-mun","Early 13th century (before 1236)","","probable","manuscript_dispersal"
"move-ms-ocf-xv-m-metz-to-paris-bnf","M: Metz → Paris, BnF","ms-ocf-xv-m","place-metz","repo-paris-bnf","13th century, perhaps first half","","probable","manuscript_dispersal"
"move-ms-ocf-xv-n-tournai-to-brussels-bibl-royale-albert-ier","N: Tournai → Brussels, Bibl. royale Albert Ier","ms-ocf-xv-n","place-tournai","repo-brussels-bibl-royale-albert-ier","13th century","","possible","manuscript_dispersal"
"move-ms-ocf-xv-n-saint-martin-of-tournai-to-brussels-bibl-royale-albert-ier","N: Saint-Martin of Tournai → Brussels, Bibl. royale Albert Ier","ms-ocf-xv-n","place-saint-martin-of-tournai","repo-brussels-bibl-royale-albert-ier","13th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-o-ter-doest-abbey-to-brugge-stedelijke-openbare-bibl","O: Ter Doest Abbey → Brugge, Stedelijke Openbare Bibl.","ms-ocf-xv-o","place-ter-doest-abbey","repo-brugge-stedelijke-openbare-bibl","13th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-p-noyon-to-paris-bnf","P: Noyon → Paris, BnF","ms-ocf-xv-p","place-noyon","repo-paris-bnf","Second half or end of 13th century","","probable","manuscript_dispersal"
"move-ms-ocf-xv-q-prague-to-wroc-aw-bibl-uniwersytecka","Q: Prague → Wrocław, Bibl. Uniwersytecka","ms-ocf-xv-q","place-prague","repo-wroc-aw-bibl-uniwersytecka","14th century","","possible","manuscript_dispersal"
