"id","label","openatlasClass","systemClass","type","lat","lon","certainty","note"
"place-abbey-of-saint-loup-troyes","Abbey of Saint-Loup, Troyes","E53 Place","place","scriptorium_or_origin_place","48.297","4.074","probable","Origin/context place parsed from ""Saint-Loup""."
"repo-brugge-stedelijke-openbare-bibl","Brugge, Stedelijke Openbare Bibl.","E53 Place","place","repository_place","51.2094","3.2247","certain","Current repository inferred from shelfmark: Brugge, Stedelijke Openbare Bibl., MS 318"
"repo-brussels-bibl-royale-albert-ier","Brussels, Bibl. royale Albert Ier","E53 Place","place","repository_place","50.8427","4.361","certain","Current repository inferred from shelfmark: Brussels, Bibl. royale Albert Ier, MS II 1013"
"place-cambrai","Cambrai","E53 Place","place","scriptorium_or_origin_place","50.176","3.235","probable","Origin/context place parsed from ""Trier, adapted for Cambrai""."
"repo-chantilly-muse-e-conde","Chantilly, Musée Condé","E53 Place","place","repository_place","49.1945","2.4858","certain","Current repository inferred from shelfmark: Chantilly, Musée Condé, MS 1149 (no. 356)"
"place-chartres","Chartres","E53 Place","place","scriptorium_or_origin_place","48.446","1.489","probable","Origin/context place parsed from ""Chartres; in Orléans by 1256""."
"place-corbie","Corbie","E53 Place","place","scriptorium_or_origin_place","49.906","2.506","probable","Origin/context place parsed from ""Corbie""."
"place-metz","Metz","E53 Place","place","scriptorium_or_origin_place","49.119","6.176","probable","Origin/context place parsed from ""Metz""."
"place-noyon","Noyon","E53 Place","place","scriptorium_or_origin_place","49.581","3","probable","Origin/context place parsed from ""Noyon""."
"repo-orle-ans-bibl-mun","Orléans, Bibl. mun.","E53 Place","place","repository_place","47.9029","1.9039","certain","Current repository inferred from shelfmark: Orléans, Bibl. mun., MS 144"
"repo-paris-bnf","Paris, BnF","E53 Place","place","repository_place","48.8339","2.3757","certain","Current repository inferred from shelfmark: Paris, BnF, MS lat. 11743"
"place-prague","Prague","E53 Place","place","scriptorium_or_origin_place","50.0755","14.4378","possible","Origin/context place parsed from ""Prague (or near)""."
"place-reims","Reims","E53 Place","place","scriptorium_or_origin_place","49.258","4.031","probable","Origin/context place parsed from ""Reims""."
"repo-reims-bibl-mun","Reims, Bibl. mun.","E53 Place","place","repository_place","49.2541","3.025","certain","Current repository inferred from shelfmark: Reims, Bibl. mun., MS 342"
"repo-rouen-bibl-mun","Rouen, Bibl. mun.","E53 Place","place","repository_place","49.4432","1.0993","certain","Current repository inferred from shelfmark: Rouen, Bibl. mun., MS 370"
"place-saint-amand-les-eaux","Saint-Amand-les-Eaux","E53 Place","place","scriptorium_or_origin_place","50.447","3.429","probable","Origin/context place parsed from ""Saint-Amand, diocese of Tournai""."
"place-saint-germain-des-pres-paris","Saint-Germain-des-Pres, Paris","E53 Place","place","scriptorium_or_origin_place","48.854","2.334","probable","Origin/context place parsed from ""Saint-Germain-des-Prés""."
"place-saint-martin-of-tournai","Saint-Martin of Tournai","E53 Place","place","scriptorium_or_origin_place","50.605","3.389","probable","Origin/context place parsed from ""Saint-Martin of Tournai""."
"place-sens","Sens","E53 Place","place","scriptorium_or_origin_place","48.198","3.283","probable","Origin/context place parsed from ""Sens""."
"repo-sens-bibl-mun","Sens, Bibl. mun.","E53 Place","place","repository_place","48.1974","3.282","certain","Current repository inferred from shelfmark: Sens, Bibl. mun., MS 9"
"repo-siena-bibl-comunale-degli-intronati","Siena, Bibl. Comunale degli Intronati","E53 Place","place","repository_place","43.3188","11.3308","certain","Current repository inferred from shelfmark: Siena, Bibl. Comunale degli Intronati, MS G.V. 12"
"place-ter-doest-abbey","Ter Doest Abbey","E53 Place","place","scriptorium_or_origin_place","51.3","3.19","probable","Origin/context place parsed from ""Ter Doest""."
"place-tournai","Tournai","E53 Place","place","diocesan_context","50.605","3.389","possible","Origin/context place parsed from ""Saint-Martin of Tournai""."
"place-trier","Trier","E53 Place","place","scriptorium_or_origin_place","49.756","6.641","probable","Origin/context place parsed from ""Trier, adapted for Cambrai""."
"repo-troyes-tre-sor-de-la-cathe-drale","Troyes, Trésor de la Cathédrale","E53 Place","place","repository_place","48.2973","4.0744","certain","Current repository inferred from shelfmark: Troyes, Trésor de la Cathédrale, MS 4"
"place-tyre","Tyre","E53 Place","place","scriptorium_or_origin_place","33.27","35.203","probable","Origin/context place parsed from ""Tyre""."
"repo-wroc-aw-bibl-uniwersytecka","Wrocław, Bibl. Uniwersytecka","E53 Place","place","repository_place","51.114","17.0471","certain","Current repository inferred from shelfmark: Wrocław, Bibl. Uniwersytecka, MS I F 380"
