"id","label","openatlasClass","systemClass","type","url","description"
"ref-ms-ocf-xv-o-digital","Biblissima IIIF (search): Brugge, Stedelijke Openbare Bibl., MS 318","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/search?q=Bruges+Biblioth%C3%A8que+publique+Ms.+318","Digital source for Brugge, Stedelijke Openbare Bibl., MS 318."
"ref-ms-ocf-xv-s-digital","Biblissima IIIF (search): Chantilly, Musée Condé, MS 1149 (no. 356)","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/search?q=Chantilly+Mus%C3%A9e+Cond%C3%A9+Ms.+1149","Digital source for Chantilly, Musée Condé, MS 1149 (no. 356)."
"ref-ms-ocf-xv-j-digital","Biblissima IIIF (search): Siena, Bibl. Comunale degli Intronati, MS G.V. 12","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/search?q=Siena+G.V+12","Digital source for Siena, Bibl. Comunale degli Intronati, MS G.V. 12."
"ref-ms-ocf-xv-q-digital","Biblissima IIIF (search): Wrocław, Bibl. Uniwersytecka, MS I F 380","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/search?q=Wroclaw+Biblioteka+Uniwersytecka+I+F+380","Digital source for Wrocław, Bibl. Uniwersytecka, MS I F 380."
"ref-ms-ocf-xv-l-digital","Biblissima IIIF Collections: Orléans, Bibl. mun., MS 144","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/manifest/68a4fdc0185ac172e4d150944c35051ca99c5317","Digital source for Orléans, Bibl. mun., MS 144."
"ref-ms-ocf-xv-g-digital","Biblissima IIIF Collections: Reims, Bibl. mun., MS 342","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/manifest/a2ad0ab6e218b57f2e17259f14cfe9d9e5c629c0","Digital source for Reims, Bibl. mun., MS 342."
"ref-ms-ocf-xv-k-digital","Biblissima IIIF Collections: Rouen, Bibl. mun., MS 370","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/manifest/7e1c202c01660933c01e7f001c2f8d1dcd2a0e94","Digital source for Rouen, Bibl. mun., MS 370."
"ref-ms-ocf-xv-h-digital","Biblissima IIIF Collections: Sens, Bibl. mun., MS 9","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/manifest/ccc201f9f2fa2d7805a3e7692a98db61b7df62d8","Digital source for Sens, Bibl. mun., MS 9."
"ref-ms-ocf-xv-i-digital","Biblissima IIIF Collections: Troyes, Trésor de la Cathédrale, MS 4","E31 Document","reference","iiif_manifest","https://iiif.biblissima.fr/collections/manifest/54329facc17fc3b405bc3429e6cd613d73ec0855","Digital source for Troyes, Trésor de la Cathédrale, MS 4."
"ref-ms-ocf-xv-r-digital","BnF Catalogue (search): Paris, BnF, MS Baluze 379","E31 Document","reference","digital_facsimile","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+Baluze+379","Digital source for Paris, BnF, MS Baluze 379."
"ref-ms-ocf-xv-t-digital","BnF Catalogue (search): Paris, BnF, MS lat. 11743","E31 Document","reference","digital_facsimile","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+lat+11743","Digital source for Paris, BnF, MS lat. 11743."
"ref-ms-ocf-xv-c-digital","BnF Catalogue (search): Paris, BnF, MS lat. 14192","E31 Document","reference","digital_facsimile","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+lat+14192","Digital source for Paris, BnF, MS lat. 14192."
"ref-ms-ocf-xv-c-bib-1","Brown, Franks, Burgundians, and Aquitanians, 15–0","E31 Document","reference","bibliography","","Bibliographic reference for Paris, BnF, MS lat. 14192."
"ref-ms-ocf-xv-o-bib-1","de Poorter, Catalogue, 2: 355–6","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Brugge, Stedelijke Openbare Bibl., MS 318."
"ref-ms-ocf-xv-a-bib-1","Delisle, 'Mémoire,' 188–0","E31 Document","reference","bibliography","","Bibliographic reference for Paris, BnF, MS lat. 12052."
"ref-ms-ocf-xv-a-digital","Gallica / BnF: Paris, BnF, MS lat. 12052","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b84274539","Digital source for Paris, BnF, MS lat. 12052."
"ref-ms-ocf-xv-m-digital","Gallica / BnF: Paris, BnF, MS lat. 1223","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b90781373","Digital source for Paris, BnF, MS lat. 1223."
"ref-ms-ocf-xv-b-digital","Gallica / BnF: Paris, BnF, MS lat. 13313","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b90669992","Digital source for Paris, BnF, MS lat. 13313."
"ref-ms-ocf-xv-d-digital","Gallica / BnF: Paris, BnF, MS lat. 13315","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b9068382b","Digital source for Paris, BnF, MS lat. 13315."
"ref-ms-ocf-xv-p-digital","Gallica / BnF: Paris, BnF, MS lat. 17335","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b9077919m","Digital source for Paris, BnF, MS lat. 17335."
"ref-ms-ocf-xv-e-digital","Gallica / BnF: Paris, BnF, MS lat. 945","E31 Document","reference","digital_facsimile","https://gallica.bnf.fr/ark:/12148/btv1b10073460v","Digital source for Paris, BnF, MS lat. 945."
"ref-ms-ocf-xv-p-iiif","IIIF manifest: Paris, BnF, MS lat. 17335","E31 Document","reference","iiif_manifest","https://gallica.bnf.fr/iiif/ark:/12148/btv1b8426275w/manifest.json","IIIF manifest for Paris, BnF, MS lat. 17335."
"ref-ms-ocf-xv-n-digital","KBR OPAC (search): Brussels, Bibl. royale Albert Ier, MS II 1013","E31 Document","reference","digital_facsimile","https://opac.kbr.be/search.aspx?SC=KBR_UNIFIED&QUERY=%22II%201013%22","Digital source for Brussels, Bibl. royale Albert Ier, MS II 1013."
"ref-ms-ocf-xv-t-bib-1","Leroquais, Pontificaux, 1: 170, no. 148","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 11743."
"ref-ms-ocf-xv-l-bib-1","Leroquais, Pontificaux, 1: 252–0, no. 76","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Orléans, Bibl. mun., MS 144."
"ref-ms-ocf-xv-g-bib-1","Leroquais, Pontificaux, 1: 279–1, no. 185","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Reims, Bibl. mun., MS 342."
"ref-ms-ocf-xv-h-bib-1","Leroquais, Pontificaux, 1: 327–3, no. 199","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Sens, Bibl. mun., MS 9."
"ref-ms-ocf-xv-m-bib-1","Leroquais, Pontificaux, 2: 124–0, no. 129","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 1223."
"ref-ms-ocf-xv-e-bib-1","Leroquais, Pontificaux, 2: 15–1, no. 95","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 945."
"ref-ms-ocf-xv-b-bib-1","Leroquais, Pontificaux, 2: 175–9, no. 151","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 13313."
"ref-ms-ocf-xv-d-bib-1","Leroquais, Pontificaux, 2: 180–4, no. 153","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 13315."
"ref-ms-ocf-xv-p-bib-1","Leroquais, Pontificaux, 2: 211–4, no. 162","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 17335."
"ref-ms-ocf-xv-k-bib-1","Leroquais, Pontificaux, 2: 306–1, no. 190","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Rouen, Bibl. mun., MS 370."
"ref-ms-ocf-xv-i-bib-1","Leroquais, Pontificaux, 2: 396–02, no. 223","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Troyes, Trésor de la Cathédrale, MS 4."
"ref-ms-ocf-xv-f-bib-1","Leroquais, Pontificaux, 2: 41–6, no. 103","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 953."
"ref-ms-ocf-xv-a-bib-2","Leroquais, Sacramentaires, 1: 79–1, no. 79","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Paris, BnF, MS lat. 12052."
"ref-ms-ocf-xv-j-bib-1","Mayer, 'Das Pontificale von Tyrus,' Dumbarton Oaks Papers 21 (1967): 213–0","E31 Document","reference","bibliography","","Bibliographic reference for Siena, Bibl. Comunale degli Intronati, MS G.V. 12."
"ref-ms-ocf-xv-q-bib-1","Schenk, 'Rękopisy liturgiczne,' 202","E31 Document","reference","bibliography","","Bibliographic reference for Wrocław, Bibl. Uniwersytecka, MS I F 380."
"ref-ms-ocf-xv-f-digital","Usuarium (manuscript record): Paris, BnF, MS lat. 953","E31 Document","reference","digital_facsimile","https://usuarium.elte.hu/book/3115/view","Digital source for Paris, BnF, MS lat. 953."
"ref-ms-ocf-xv-n-bib-1","van den Gheyn, Catalogue, 1: 224–5","E31 Document","reference","edition_or_catalogue","","Bibliographic reference for Brussels, Bibl. royale Albert Ier, MS II 1013."
